oc_punto,oc_tipo,oc_tension,oc_agente,lat,lon,matched_bus_id,matched_name,match_source,match_method,match_score
JUANCHO LOS COCOS,RETIRO,138 KV,EDESUR,17.8722019,-71.289374,WSLCOE,JUANCHO LOS COCOS 1,generator_name,fuzzy,1.0
PARQUE EOLICO JUANCHO-LOS COCOS T1,CENTRAL,138 KV,EGEHAINA,17.872531,-71.289259,WSLCOE,JUANCHO LOS COCOS 1,generator_name,fuzzy,1.0
PARQUE EOLICO JUANCHO-LOS COCOS T4,CENTRAL,138 KV,EGEHAINA,17.872698,-71.289177,WSLCOE,JUANCHO LOS COCOS 1,generator_name,fuzzy,1.0
PARQUE EOLICO JUANCHO-LOS COCOS T3,CENTRAL,138 KV,EGEHAINA,17.884759,-71.270144,WSLCOE,JUANCHO LOS COCOS 1,generator_name,fuzzy,1.0
PARQUE EÓLICO LARIMAR G10,CENTRAL,34.5 KV,EGEHAINA,17.899195,-71.254682,WSLCOE,PARQUE EOLICO LARIMAR,generator_name,fuzzy,1.0
PARQUE EÓLICO LARIMAR G20,CENTRAL,34.5 KV,EGEHAINA,17.899391,-71.254375,WSLCOE,PARQUE EOLICO LARIMAR,generator_name,fuzzy,1.0
PEDERNALES T01,RETIRO,138,EDESUR,18.028372,-71.712847,,,,unmatched,0.333
BARAHONA,RETIRO,69 KV,EDESUR,18.2178619,-71.0882774,WBARAF,BARAHONA,bus_name,exact,1.0
INGENIO BARAHONA,RETIRO,69 KV,EDESUR,18.2180523,-71.0874078,WIBARF,INGENIO BARAHONA,bus_name,exact,1.0
KHOURY INDUSTRIAL,UNR,69,EDESUR,18.220608,-71.241958,WKINDF,BARRA 69 KV KHOURY INDUSTRIAL,registry_load_name,fuzzy,0.5
KHOURY INDUSTRIAL 12.5,RETIRO,12.5,EDESUR,18.220666,-71.241845,,,,unmatched,0.4
BARAHONA CARBON,CENTRAL,138 KV,EGEHAINA,18.2207,-71.0865833,WBARCE,BARAHONA CARBON,generator_name,exact,1.0
ZF BARAHONA,RETIRO,69 KV,EDESUR,18.221142,-71.101447,WZFBAF,ZF BARAHONA,bus_name,exact,1.0
CENTRAL TERMOELECTRICA PUNTA CATALINA T2,GENERACION,345,EMPRESA DE GENERACIÓN ELÉCTRICA PUNTA CATALINA,18.23389,-70.237661,WCTP1D,PUNTA CATALINA 1,generator_name,fuzzy,1.0
SERVICIO DE ESTACION PUNTA CATALINA,GENERACION,138,EMPRESA DE GENERACIÓN ELÉCTRICA PUNTA CATALINA,18.23392,-70.237611,WCTP1D,PUNTA CATALINA 1,generator_name,fuzzy,0.5
CENTRAL TERMOELECTRICA PUNTA CATALINA T1,GENERACION,345,EMPRESA DE GENERACIÓN ELÉCTRICA PUNTA CATALINA,18.23393,-70.23761,WCTP1D,PUNTA CATALINA 1,generator_name,fuzzy,1.0
AEROPUERTO BARAHONA,RETIRO,69 KV,EDESUR,18.23893,-71.1332212,WAIBAF,AEROPUERTO INTERNACIONAL BARAHONA,bus_name,fuzzy,0.667
PARQUE FOTOVOLTAICO LUCILA,GENERACION,138,ETERRA GRUPO ECOENERGETICO DEL CARIBE,18.252185,-70.204897,WLUCIF,PARQUE FOTOVOLTAICO LUCILA,generator_name,exact,1.0
PARQUE EOLICO MATAFONGO,GENERACION,138,GRUPO EÓLICO DOMINICANO,18.259716,-70.494499,WMTFNE,PARQUE EÓLICO DE MATAFONGO,generator_name,fuzzy,1.0
BANI MATADERO T1,RETIRO,69 KV,EDESUR,18.2720393,-70.3398607,WBMATF,BANÍ MATADERO,bus_name,fuzzy,1.0
BANI MATADERO T2,RETIRO,69 KV,EDESUR,18.272072,-70.339878,WBMATF,BANÍ MATADERO,bus_name,fuzzy,1.0
PIZARRETE,RETIRO,69 KV,EDESUR,18.2723715,-70.2295514,WPDISF,PIZARRETE DISTRIBUCIÓN,bus_name,fuzzy,1.0
DOMICEM C03,UNR,4.6,EGEHAINA,18.2728381,-70.1442076,,,,unmatched,0.0
DOMICEM C01,UNR,4.6,EGEHAINA,18.272838,-70.144207,,,,unmatched,0.0
PALENQUE G1,CENTRAL,4.6,DOMICEM GENERACIÓN,18.273449,-70.140312,WPALBE,PALENQUE,generator_name,fuzzy,1.0
SERVICIO DE ESTACION PALENQUE,RETIRO,4.6,DOMICEM GENERACIÓN,18.27349,-70.1402,,,,unmatched,0.333
PALENQUE G2,CENTRAL,4.6,DOMICEM GENERACIÓN,18.273497,-70.140236,WPALBE,PALENQUE,generator_name,fuzzy,1.0
PALENQUE G3,CENTRAL,4.6,DOMICEM GENERACIÓN,18.27354,-70.140165,WPALBE,PALENQUE,generator_name,fuzzy,1.0
PALENQUE G4,CENTRAL,4.6,DOMICEM GENERACIÓN,18.273568,-70.140101,WPALBE,PALENQUE,generator_name,fuzzy,1.0
