hour,kind,name,from_w,to_w,loading_percent,p_from_mw
h_01,line,69 kV La Romana – Rancho Peligro_b,WXBLEF,WXGYMF,38.17690952643656,11.085474227687179
h_01,line,69 kV La Romana – Rancho Peligro_a,WLROMF,WXBLEF,30.076474236125023,11.30854971887911
h_01,line,69 kV Derivación Batey Lechuga,WXBLEF,WBLECF,0.176095618570632,0.02834007319033346
h_01,line,69 kV La Romana – La Romana Pueblo_a,WLROMF,WLRPUF,90.95695197626904,39.61001071495118
h_01,line,69 kV Buena Vista – Higüey_c,WXBENF,WHIGUF,37.00250539013389,9.929033294858435
h_01,line,69 kV Hato Mayor 2 – SPM_b,WXHMAF,WXCSUF,10.735984726704372,7.6049465573806305
h_01,line,69 kV Hato Mayor 2 – SPM_a,WXHMAF,WHMA2F,33.78933374312235,-23.85217190738011
h_01,line,69 kV SPM – ZF SPM Chentec_d,WXZSPF,WXSPAF,31.14116975378401,24.18988298003558
h_01,line,69 kV La Romana – Rancho Peligro_c,WXGYMF,WRPELF,10.020749103879133,2.786854790155038
h_01,line,69 kV SPM – ZF SPM Chentec_e,WXSPAF,WZSPCF,0.8437976735326023,0.4513728535801508
h_01,line,69 kV Derivación San Pedro TG_a,WXSPMF,WSPEGF,0.00915976161075294,8.366762651878381e-11
h_01,line,69 kV SPM – ZF SPM Chentec_b,WXSPMF,WSESEF,49.477203916318565,27.872578733402957
h_01,line,69 kV Derivación Guavaberry,WXGAVF,WGUAVF,4.1636571870243815,0.9302037266498182
h_01,line,69 kV Hato Mayor 2 – Sabana de la Mar,WHMA2F,WSMARF,0.7552146155778239,8.553452174916976e-05
h_01,line,69 kV Buena Vista – La Romana,WLROMF,WBVISF,40.009210581374674,29.86466291746883
h_01,line,69 kV SPM – ZF SPM Chentec_a,WSPM1F,WXSPMF,62.49553834387308,27.91104413807201
h_01,line,69 kV SPM – Boca Chica(Cementos)_a,WSPM1F,WXCIGF,25.94014161561183,15.149075573845561
h_01,line,69 kV Hato Mayor 2 – SPM_c,,WXCSUF,0.22307861379176072,6.590291391996664e-14
h_01,line,69 kV SPM – ZF SPM Chentec_c,WSESEF,WXZSPF,48.31149393791811,27.21346639882248
h_01,line,69 kV Derivación Consuelo,WXCSUF,WCSULF,20.087078049631685,7.554423573993302
h_01,line,69 kV Derivación Yamasá,WYAMAF,WXYAMF,41.81278332621507,-14.679488015587363
h_01,line,69 kV Buena Vista – Higüey_a,WBVISF,WXCHAF,47.27298147507093,18.264792475367823
h_01,line,69 kV Buena Vista – Higüey_b,WXCHAF,WXBENF,46.645257676760984,17.69294488452004
h_01,line,69 kV SPM – Boca Chica(Cementos)_g,WXCATF,WCAYAF,11.036230112162034,0.8061781923674441
h_01,line,69 kV SPM – Boca Chica(Cementos)_f,WCAYAF,WXGAVF,13.549133278933198,-6.273454890451736
h_01,line,69 kV SPM – Boca Chica(Cementos)_e,WXGAVF,WXCNAF,15.835188106318718,-7.214614912703457
h_01,line,69 kV SPM – Boca Chica(Cementos)_d,WXHHIF,WXCNAF,15.715343843964877,7.286877428943922
h_01,line,69 kV SPM – Boca Chica(Cementos)_c,WXCIGF,WXHHIF,16.688766014784104,8.123174010706256
h_01,line,69 kV Cítricos Nacionales – INCA km 22_d,WXCDAF,WXCPVF,29.253149669403918,-12.171954009999308
h_01,line,69 kV Derivación Hato Nuevo,WXHNUF,WHNUEF,18.849247625684608,7.582806608208728
h_01,line,69 kV Derivación MERCASID_a,WXPETF,WXGPEF,18.58663394449149,13.089268037214286
h_01,line,69 kV Arroyo Hondo – Capotillo_b,WXMALF,WXPETF,20.25927383318889,14.298298629917886
h_01,line,69 kV Arroyo Hondo – Capotillo_a,WAHONF,WXMALF,23.52857234899257,16.781497035553482
h_01,line,69 kV Bayona – Palamara_c,WXPDIF,WXCABF,59.45953359446189,42.448305914395476
h_01,line,69 kV Derivación ZF Los Alcarrizos_b,WXCBYF,WXDISF,33.736907294969654,24.10527677983585
h_01,line,69 kV Derivación ZF Los Alcarrizos_a,WXCABF,WXCBYF,48.69307767269907,34.53746051349502
h_01,line,69 kV Palamara – Plastifar_b,WNOVOF,WXNOVF,19.496210276366146,14.280076134078499
h_01,line,69 kV Cítricos Nacionales – INCA km 22_a,WXCINF,WCINAF,1.0086093215141747,0.4091172505486247
h_01,line,69 kV Derivación Campamento 16 Agosto,WXCDAF,WCDAGF,1.2254087357298555,0.5148026526508076
h_01,line,69 kV Cítricos Nacionales – INCA km 22_e,WXCPVF,WINCAF,35.81397173929419,-14.959567008841077
h_01,line,69 kV Cítricos Nacionales – INCA km 22_c,WXCDAF,WXPCGF,28.047840507010292,11.657151357346986
h_01,line,69 kV Derivación Ciudad Satélite,WXCSAF,WCSATF,15.696873555907196,12.107618009519266
h_01,line,69 kV Metropolitano – Listín Diario_d,WXBPOF,WLDIAF,0.3468118898501224,0.14425508395913694
h_01,line,69 kV Derivación Oleoducto FALCONDO,WXOFAF,WOFALF,0.05790048661644035,0.0165727935219636
h_01,line,69 kV Derivación Cervecería Bohemia,WXBOHF,WCBOHF,3.5487365322278177,2.468480607734157
h_01,line,69 kV Metropolitano – Listín Diario_c,WXHACF,WXBPOF,2.1825719244427355,0.9191222212913707
h_01,line,69 kV Bayona – CAASD Bayona_a,WBAYOF,WXCBAF,1.967673967222272,1.4325473672364017
h_01,line,69 kV Derivación Grupo Haché,WGHACF,WXHACF,0.2918928486171811,-0.13051055899894703
h_01,line,69 kV Metropolitano – Listín Diario_b,WXCODF,WXHACF,1.3998760905195697,1.0496419691082959
h_01,line,69 kV Hainamosa – Boca Chica(Tamarindo)b,WXTMRF,WXAORF,52.113582091276676,20.24425447236551
h_01,line,69 kV Derivación Acueducto Oriental,WXAORF,WAORIF,20.659489916664572,11.694289905307487
h_01,line,69 kV Dajao – Sabana Perdida_a,WDJAOF,WXTDAF,31.227975867897783,41.90691587843807
h_01,line,69 kV Los Mina – Templástica_a,WXMEGF,WLMINF,21.334792285804216,-10.87490061138113
h_01,line,69 kV Derivación Megacentro,WXMEGF,WMEGAF,1.679703879244876,1.1725346443363511
h_01,line,69 kV Derivación Grupo Alaska,WXGALF,WGALAF,1.603008158914428,0.633663329382625
h_01,line,69 kV Los Mina – Templástica_b,WXMEGF,WXTAMF,19.86963546410668,9.702365967045127
h_01,line,69 kV Los Mina – Templástica_c,WTEMPF,WXTAMF,34.675077144463486,-9.695188166001206
h_01,line,69 kV Invivienda – Villa Duarte_b,WXGPLF,WXINVF,36.085787930719135,25.895869630942457
h_01,line,69 kV Los Mina – Timbeque,WLMINF,WDESPF,22.341285716014223,-16.555681713312435
