hour,bus_id_modom,vm_pu,va_degree,vn_kv,matched
h_01,WAANDE,1.0070269834100931,8.405552179944097,138.0,True
h_01,WABCOF,0.987577827093792,-10.135736440711142,69.0,True
h_01,WABISF,0.9987574522225654,-13.522042586345803,69.0,True
h_01,WABRUF,0.9539938555891994,-1.4899203116183835,69.0,True
h_01,WACIBF,1.0240897479601285,-10.702790566143696,69.0,True
h_01,WACLAE,1.021105061437058,-4.924438886035322,138.0,True
h_01,WACLAK,1.0225955746326438,-4.929357328718858,34.5,True
h_01,WADMIF,,,,False
h_01,WADOMF,1.0271080213869503,-4.760128429199589,69.0,True
h_01,WAGUAE,1.0067847450523733,-1.0679317750723174,138.0,True
h_01,WAGUBE,1.0067847450523733,-1.0679317750723174,138.0,True
h_01,WAHMIF,0.9836062463879481,-15.829042963188304,69.0,True
h_01,WAHO1E,0.9979380046100497,-1.278285343696075,138.0,True
h_01,WAHO2E,0.9979380046100497,-1.278285343696075,138.0,True
h_01,WAHOBF,0.9930012789788802,-4.520994427881336,69.0,True
h_01,WAHONF,0.9930012789788802,-4.520994427881336,69.0,True
h_01,WAIAMF,,,,False
h_01,WAIAZF,,,,False
h_01,WAIBAF,,,,False
h_01,WAIISF,,,,False
h_01,WAISAF,,,,False
h_01,WAISCF,0.9990630348960259,-8.50849574067855,69.0,True
h_01,WAISOF,1.0326941035460724,-16.800710373399678,69.0,True
h_01,WAIUNF,,,,False
h_01,WAIZSF,,,,False
h_01,WAORIF,0.974878952358782,-2.6659096376004676,69.0,True
h_01,WAPERF,0.9850908330861459,-21.281927059631144,69.0,True
h_01,WAPFAF,1.026131055074657,-10.52322543911881,69.0,True
h_01,WAQUIF,1.015583296112749,-11.714913795834505,69.0,True
h_01,WASOEF,0.9720858439333319,-8.06041887334267,69.0,True
h_01,WAZUAF,0.9769313479683894,-9.365144480709963,69.0,True
h_01,WBALDF,1.026688588458055,-10.47951008833056,69.0,True
h_01,WBANIF,0.9823461594371419,-9.294519279666767,69.0,True
h_01,WBAPEF,0.9800418006436025,-9.762458862019407,69.0,True
h_01,WBARAF,,,,False
h_01,WBARCE,,,,False
h_01,WBASIF,0.9718353017106409,-2.2899015285006077,69.0,True
h_01,WBAYAE,1.0121365705297913,-2.932832194889903,138.0,True
h_01,WBAYAK,1.0119614062473552,-2.9355256706031887,34.5,True
h_01,WBAYOF,0.9940118516523081,-4.782940949541361,69.0,True
h_01,WBCARF,,,,False
h_01,WBCARK,0.9999999999999998,0.03552076515898643,13.800000190734863,True
h_01,WBCHIE,1.003503515471038,4.031920140342139,138.0,True
h_01,WBCHIF,0.9847765943611314,0.634422592031729,69.0,True
h_01,WBDERF,0.9880203821410396,-14.04104048463637,69.0,True
h_01,WBDERK,0.9999999999999999,-14.114640550578239,13.800000190734863,True
h_01,WBENEF,1.025548086562488,-5.666491386441219,69.0,True
h_01,WBERSF,,,,False
h_01,WBLECF,1.0023155756340165,-3.325056484600597,69.0,True
h_01,WBMATF,0.9793788840780185,-9.630038499451807,69.0,True
h_01,WBNVFF,,,,False
h_01,WBON2E,,,,False
h_01,WBON2F,,,,False
h_01,WBON3C,,,,False
h_01,WBON3D,,,,False
h_01,WBON3E,,,,False
h_01,WBONAF,1.014147044073421,-7.691665929261524,69.0,True
h_01,WBOPEF,,,,False
h_01,WBPOPF,0.9966785459510994,-1.607931675566241,69.0,True
h_01,WBVISF,1.0243478635922554,-3.340337540872333,69.0,True
h_01,WCABAF,1.0215325490124758,-18.022875411719077,69.0,True
h_01,WCALAE,1.011927397222988,-2.8236663696762645,138.0,True
h_01,WCALBE,1.011927397222988,-2.8236663696762645,138.0,True
h_01,WCANAE,,,,False
h_01,WCANAF,1.0240017707069469,-10.755866927939323,69.0,True
h_01,WCAPOF,0.9513485431452174,-1.1902993806644047,69.0,True
h_01,WCATAF,0.9677752700942919,-1.0219233520923814,69.0,True
h_01,WCAYAF,0.989077930627379,-0.23967582198874288,69.0,True
h_01,WCBOHF,0.9964153210103673,-4.83050102560422,69.0,True
h_01,WCBYNF,0.9758638211381766,-4.77043450347982,69.0,True
h_01,WCC21E,1.0117336572398872,-3.3481093718823716,138.0,True
h_01,WCCA2F,1.0054039001840758,-6.3639599735697345,69.0,True
h_01,WCCABF,1.005248681014125,-6.427955119610891,69.0,True
h_01,WCCARF,0.970729905915568,-0.7416745555407778,69.0,True
h_01,WCCIBF,1.0188825377612925,-11.145234871314646,69.0,True
h_01,WCDAGF,0.9798404219501453,-5.167308389419662,69.0,True
h_01,WCEMEE,1.0120191657606747,2.2094982537987486,138.0,True
h_01,WCENOF,0.9710012198543445,-16.522208773746826,69.0,True
h_01,WCEPPF,,,,False
h_01,WCES1K,1.0199999809265137,2.23648487649367,13.800000190734863,True
h_01,WCES2K,1.0199999809265137,2.23648487649367,13.800000190734863,True
h_01,WCES3K,1.0199999809265137,2.2446099748587667,13.800000190734863,True
h_01,WCESPF,0.9794159875868098,-14.456341007999121,69.0,True
h_01,WCESPK,,,,False
h_01,WCINDF,,,,False
h_01,WCLUIE,1.0066656379092784,1.283729789147182,138.0,True
h_01,WCNACF,,,,False
h_01,WCNPEE,,,,False
h_01,WCNSLF,,,,False
h_01,WCOAPE,1.01165488226859,1.437325179572229,138.0,True
