hour,converged,gen_matched_mw,gen_unmatched_mw,load_matched_mw,load_unmatched_mw,gen_coverage,load_coverage,n_bus,n_lines,n_traf,demand_mw,gen_mw,slack_mw,losses_mw,v_min,v_max,n_v_below_090,n_v_above_110,modom_buses_with_v,modom_buses_total
h_01,True,3328.64,216.32,2676.9576346472013,611.9463620639157,0.9389781549016067,0.8139360824530426,928,641,177,2608.5405232885173,3028.6400000000003,-363.59604346648706,56.503433245499025,0.8180972807238919,1.0674153789427296,6,0,523,717
h_02,True,3217.700000000001,213.42000000000002,2578.595847383238,597.5937500155137,0.9377987362727039,0.8118519906667621,928,641,177,2513.227744392371,2917.7,-347.29711056784873,57.17514504048229,0.8129602305642089,1.067791255640744,6,0,523,717
h_03,True,3107.1400000000003,214.95,2488.884742126134,583.0955333759636,0.9352967559578459,0.8101890373366216,928,641,177,2426.514134407238,2807.1400000000003,-326.18108293066126,54.44478266272867,0.8171344135547514,1.0686548970507694,6,0,523,717
h_04,True,3052.9,184.60999999999996,2417.7116021610664,573.4386766384437,0.9429777823080083,0.8082882425858617,928,641,177,2357.635871567836,2752.8999999999996,-342.63272980057013,52.631398631652644,0.8431983612875299,1.0690855749290682,5,0,523,717
h_05,True,2991.32,178.51999999999998,2360.3468765667885,563.4966998987146,0.9436817000227141,0.8072753602708462,928,641,177,2302.088781533136,2691.3199999999997,-337.7968793440299,51.43433912280371,0.8526954419354711,1.0694037506621774,5,0,523,717
h_06,True,2953.2799999999997,168.99,2325.105465108101,554.699955364528,0.9458759172012671,0.8073828351661719,928,641,177,2268.3159610655566,2653.2799999999993,-335.84947281114296,49.114566123252224,0.8600026975900534,1.0697880039452652,5,0,523,717
h_07,True,2930.1299999999997,131.73999999999998,2271.3509626738373,546.9823319004671,0.956974006081251,0.805919926875403,928,641,177,2217.0245382353255,2630.13,-363.85093950667635,49.25452225792636,0.8714886571365424,1.071125760485107,5,0,523,717
h_08,True,2888.46,163.27,2264.9132016754825,550.3681186447945,0.9464991988150984,0.8045068836736421,928,641,177,2212.3773921702573,2588.46,-335.0209538371467,41.0616539926099,0.8965152551689775,1.073797626186422,3,0,523,717
h_09,True,2947.4900000000002,196.5,2333.5835029651316,565.5899298686581,0.9374998012080191,0.8049133854969747,928,641,177,2281.775387894048,2697.49,-366.77976137206036,48.93485073414954,0.9105595241330557,1.0766144279663596,0,0,523,717
h_10,True,2941.050000000002,188.45000000000002,2304.9865442133355,574.5297195228782,0.9397827128934335,0.80047700137751,928,641,177,2255.1528039295545,2691.0499999999993,-385.11464389448184,50.78255217603225,0.9141970736267563,1.1394164869925478,0,1,523,717
