branch_id,branch_base_id,branch_parallel_index,from_bus,to_bus,circuit_id,branch_type,r_pu,x_pu,fmax_mw,in_service_base,closure_flag,series_parameter_status,thermal_limit_status,closure_flag_is_binary,operational_status,closure_semantics_hint,pypsa_v1_component,pypsa_v1_include,tap_ratio_hint,pypsa_v1_mapping_reason,from_bus_in_buses,to_bus_in_buses,source_sheet,source_row_number
WAANDE__WENADE__L1,WAANDE__WENADE__L1,1,WAANDE,WENADE,L1,line,0.00036,0.00042,111.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,271
WAANDE__WTAAGK__T1,WAANDE__WTAAGK__T1,1,WAANDE,WTAAGK,T1,transformer,0.0011239330826103764,0.03164030657844377,405.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,transformer,True,,standard_branch,True,True,e_datred,273
WAANDE__WTAAVK__L1,WAANDE__WTAAVK__L1,1,WAANDE,WTAAVK,L1,line,0.00276143,0.1181238,141.0,0,1,series_parameter_present,positive_thermal_limit,True,out_of_service,binary_switch_state,line,False,,out_of_service_base_case,True,True,e_datred,274
WABCOF__WXCOCF__L1,WABCOF__WXCOCF__L1,1,WABCOF,WXCOCF,L1,line,0.03615,0.13119,68.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,570
WACIBF__WPIMCF__L1,WACIBF__WPIMCF__L1,1,WACIBF,WPIMCF,L1,line,0.02336,0.03534,45.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,489
WACLAE__WNAV2E__L1,WACLAE__WNAV2E__L1,1,WACLAE,WNAV2E,L1,line,0.02914303,0.11888404999999999,158.28462,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,846
WACLAK__WACLAE__T1,WACLAK__WACLAE__T1,1,WACLAK,WACLAE,T1,transformer,0.00777778,0.2081881,54.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,transformer,True,,standard_branch,True,True,e_datred,822
WAGUAE__WAGUBE__L1,WAGUAE__WAGUBE__L1,1,WAGUAE,WAGUBE,L1,line,0.0,0.0001,158.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,691
WAGUAE__WJIGBE__L1,WAGUAE__WJIGBE__L1,1,WAGUAE,WJIGBE,L1,line,0.0082,0.0347,158.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,692
WAGUAE__WTAG1K__T1,WAGUAE__WTAG1K__T1,1,WAGUAE,WTAG1K,T1,transformer,0.01268137,0.3049672,33.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,transformer,True,,standard_branch,True,True,e_datred,694
WAGUBE__WTAG2K__T1,WAGUBE__WTAG2K__T1,1,WAGUBE,WTAG2K,T1,transformer,0.01268137,0.306507,33.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,transformer,True,,standard_branch,True,True,e_datred,693
WAHO1E__WAHO2E__L1,WAHO1E__WAHO2E__L1,1,WAHO1E,WAHO2E,L1,line,0.0,0.0006,317.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,68
WAHO1E__WAHONF__T1,WAHO1E__WAHONF__T1,1,WAHO1E,WAHONF,T1,transformer,0.0025,0.073097,143.4548,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,transformer,True,,standard_branch,True,True,e_datred,66
WAHO1E__WAHONF__T2,WAHO1E__WAHONF__T2,1,WAHO1E,WAHONF,T2,transformer,0.00625,0.1260952,80.0,0,1,series_parameter_present,positive_thermal_limit,True,out_of_service,binary_switch_state,transformer,False,,out_of_service_base_case,True,True,e_datred,67
