bus_id_modom,bus_name,bus_id_legacy,bus_name_legacy,code_changed,appears_in_mapping,appears_in_e_datred,e_datred_endpoint_count,v_nom_kv,v_nom_inference_method,v_nom_confidence,bus_role,source_sheet_primary,bus_origin
WAANDE,AES ANDRÉS,WAANDE,AES ANDRES,NO,True,True,4,138.0,suffix_E_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WABCOF,ABCO,WABCOF,ABCO,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WABISF,ARROZ BISONO,WABISF,ARROZ BISONO,NO,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WABRUF,ACUEDUCTO BRUJUELA,WABRUF,ACUEDUCTO BRUJUELA,NO,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WACIBF,ACERO CIBAO,WACIBF,ACERO CIBAO,NO,True,True,2,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WACLAE,,,,,False,True,3,138.0,suffix_E_default,medium,network,e_datred,e_datred_only
WACLAK,,,,,False,True,1,,unresolved,low,network,e_datred,e_datred_only
WADMIF,ARGOS DOMINICANA (CEMENTO COLÓN),WCCOLF,CEMENTO COLON,SI,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WADOMF,ALUMINIO DOMINICANO,WADOMF,ALUMINIO DOMINICANO,NO,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WAGUAE,AGUACATE,WAGUAE,AGUACATE,NO,True,True,3,138.0,suffix_E_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WAGUBE,AGUACATE B,WAGUBE,AGUACATE B,NO,True,True,3,138.0,suffix_E_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WAHMIF,ACUADUCTO HERMANAS MIRABAL,WAHMIF,ACUEDUCTO CABUYA,NO,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WAHO1E,ARROYO HONDO 138 kV Barra 1,WAHO1E,ARROYO HONDO 138 kV Barra 1,NO,True,True,4,138.0,name_explicit,high,network,MAPEO TODAS LAS BARRAS,mapping
WAHO2E,ARROYO HONDO 138 kV Barra 2,WAHO2E,ARROYO HONDO 138 kV Barra 2,NO,True,True,2,138.0,name_explicit,high,network,MAPEO TODAS LAS BARRAS,mapping
WAHOBF,ARROYO HONDO B,WAHOBF,ARROYO HONDO B,NO,True,True,4,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WAHONF,ARROYO HONDO,WAHONF,ARROYO HONDO,NO,True,True,4,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WAIAMF,AEROPUERTO INTERNACIONAL LAS AMÉRICAS,WAAMEF,AEROPUERTO INTERNACIONAL LAS AMÉRICAS,SI,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WAIAZF,ACUEDUCTO INAPA AZUA,WAIAZF,ACUEDUCTO INAPA AZUA,NO,True,True,2,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WAIBAF,AEROPUERTO INTERNACIONAL BARAHONA,WABARF,AEROPUERTO INTERNACIONAL BARAHONA,SI,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WAIISF,AEROPUERTO INTERNACIONAL LA ISABELA,WAHIGF,AEROPUERTO INTERNACIONAL LA ISABELA,SI,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WAISAF,ACUEDUCTO LA ISABELA,WALISF,ACUEDUCTO LA ISABELA,SI,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WAISCF,ACUEDUCTO INAPA SAN CRISTOBAL,WAISCF,ACUEDUCTO INAPA SAN CRISTOBAL,NO,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WAISOF,ACUEDUCTO INAPA SOSUA,WAISOF,ACUEDUCTO INAPA SOSUA,NO,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WAIUNF,AEROPUERTO INTERNACIONAL LA UNIÓN,WAPPLF,AEROPUERTO INTERNACIONAL LA UNIÓN,SI,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WAIZSF,ASOCIACIÓN INDUSUSTRIAS ZONA FRANCA SAN PEDRO DE MACORIS,WZSPMF,ASOC INDUS ZF SPM,SI,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WAORIF,ACUEDUCTO ORIENTAL,WAORIF,ACUEDUCTO ORIENTAL,NO,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WAPERF,ABANICO PER,WAPERF,ABANICO PER,NO,True,True,2,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WAPFAF,ARTÍCULOS PIEL FAVORITOS,WAPFAF,ARTÍCULOS PIEL FAVORITOS,NO,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WAQUIF,ACUEDUCTO QUINIGUA,WAQUIF,ACUEDUCTO QUINIGUA,NO,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WASOEF,ACUEDUCTO SUR-OESTE,WASOEF,ACUEDUCTO MULT BARAHO,NO,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WAZUAF,AZUA,WAZUAF,AZUA,NO,True,True,2,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WBALDF,BALDOM,WBALDF,BALDOM,NO,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WBANIF,BANÍ,WBANIF,BANI PUEBLO,NO,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WBAPEF,BANÍ PER,WBAPEF,BANI PER,NO,True,True,2,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WBARAF,BARAHONA 69,WBARAF,BARAHONA,NO,True,True,2,69.0,name_explicit,high,network,MAPEO TODAS LAS BARRAS,mapping
WBARCE,BARAHONA CARBÓN 138,WBCA1E,BARAHONA CARBON 138,SI,True,True,5,138.0,name_explicit,high,network,MAPEO TODAS LAS BARRAS,mapping
WBASIF,BASE AÉREA SAN ISIDRO,WBASIF,BASE AEREA SAN ISIDR,NO,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WBAYAE,,,,,False,True,3,138.0,suffix_E_default,medium,network,e_datred,e_datred_only
WBAYAK,,,,,False,True,1,,unresolved,low,network,e_datred,e_datred_only
WBAYOF,BAYONA,WBAYOF,BAYONA,NO,True,True,4,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WBCARF,BARAHONA CARBÓN 69,WBCARF,BARAHONA CARBON 69,NO,True,True,2,69.0,name_explicit,high,network,MAPEO TODAS LAS BARRAS,mapping
WBCARK,TER BARAHONA CARBON,WBCARK,TER BARAHONA CARBON,NO,True,True,1,,unresolved,low,network,MAPEO TODAS LAS BARRAS,mapping
WBCHIE,BOCA CHICA 138,WBCHIE,BOCA CHICA 138,NO,True,True,4,138.0,name_explicit,high,network,MAPEO TODAS LAS BARRAS,mapping
WBCHIF,BOCA CHICA 69,WBCHIF,BOCA CHICA 69,NO,True,True,3,69.0,name_explicit,high,network,MAPEO TODAS LAS BARRAS,mapping
WBDERF,BRAZO DERECHO,WBDERF,BRAZO DERECHO,NO,True,True,2,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WBDERK,TERMINAL BRAZO DERECHO 13.8 Kv,WBDERK,TERMINAL BRAZO DERECHO 13.8 Kv,NO,True,True,1,13.8,name_explicit,high,generator_terminal,MAPEO TODAS LAS BARRAS,mapping
WBENEF,BENEDICTO,WBENEF,BENEDICTO,NO,True,True,2,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WBERSF,BERSAL,WCEMEK,BESAL,SI,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WBLECF,BATEY LECHUGA,WBLECF,BATEY LECHUGA,NO,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WBMATF,BANÍ MATADERO,WBMATF,BANI MATADERO,NO,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WBNVFF,BANCO NACIONAL DE LA VIVIENDA FACIL,WBNVIF,BNV  FACIL,SI,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WBON2E,BONAO 2 138,WBO21E,BONAO 2 138,SI,True,True,7,138.0,name_explicit,high,network,MAPEO TODAS LAS BARRAS,mapping
WBON2F,BONAO 2 69,WBO21F,BONAO 2 69,SI,True,True,7,69.0,name_explicit,high,network,MAPEO TODAS LAS BARRAS,mapping
WBON3C,,,,,False,True,4,,unresolved,low,network,e_datred,e_datred_only
WBON3D,,,,,False,True,6,345.0,topology_line_consensus,medium,network,e_datred,e_datred_only
WBON3E,,,,,False,True,4,138.0,suffix_E_default,medium,network,e_datred,e_datred_only
WBONAF,BONAO,WBONAF,BONAO PUEBLO,NO,True,True,1,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WBOPEF,BONAO PER,WBPERF,BONAO PER,SI,True,True,3,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
WBPOPF,BANCO POPULAR,WBPOPF,BANCO POPULAR,NO,True,True,2,69.0,suffix_F_default,medium,network,MAPEO TODAS LAS BARRAS,mapping
