generator_id,YN,PMX,PMN,CVP,TCG,SSAA,MRPF,MRSF,FACTORA,H_P,PGN,BASE,RS,RB,TARR,TPAR,TMO,TMPA,RENDH,TIF,RFA_INI,ARR_INI,ACC_INI,PAR_INI,HOC,NAMX,PGINI
G3TAVER1,1.0,48.0,33.0,0.0,2.0,0.02,3.1,5.8,51222.857142857145,3.75,48.0,1.0,,,1.0,1.0,,,,,,,,,,,
G3TAVER2,1.0,48.0,33.0,0.0,2.0,0.02,3.7,11.0,19322.448979591838,3.75,48.0,1.0,,,1.0,1.0,,,,,,,,,,,
G3JIGUE1,1.0,47.0,33.0,0.0,2.0,0.02,2.3,6.0,11206.923076923076,4.35,49.0,1.0,,,1.0,1.0,,,,,,,,,,,
G3JIGUE2,1.0,46.0,33.0,0.0,2.0,0.02,3.8,6.0,13595.142857142855,4.35,49.0,1.0,,,1.0,1.0,,,,,,,,,,,
G3AGUAC1,1.0,0.0,0.0,0.0,2.0,0.02,3.0,3.0,7107.5,3.5,28.2,1.0,,,1.0,1.0,,,,,,,,,,,
G3AGUAC2,1.0,28.0,20.0,0.0,2.0,0.02,2.0,3.0,5413.333333333333,3.5,28.2,1.0,,,1.0,1.0,,,,,,,,,,,
G3VALDE1,1.0,24.0,16.0,0.0,2.0,0.02,2.0,,3994.7368421052633,3.9455,25.5,1.0,,,1.0,1.0,,,,,,,,,,,
G3VALDE2,1.0,0.0,0.0,0.0,2.0,0.02,2.0,,6711.23595505618,3.9455,25.5,1.0,,,1.0,1.0,,,,,,,,,,,
G3RBLAN1,1.0,12.5,8.5,0.0,2.0,0.02,1.0,,952.3809523809524,2.6125,12.8,1.0,,,1.0,1.0,,,,,,,,,,,
G3RBLAN2,1.0,0.0,0.0,0.0,2.0,0.02,1.0,,952.3809523809524,2.6125,12.8,1.0,,,1.0,1.0,,,,,,,,,,,
G3MONCI1,1.0,26.0,16.0,0.0,2.0,0.02,2.45,,2337.5,5.6,24.0,1.0,,,1.0,1.0,,,,,,,,,,,
G3MONCI2,1.0,26.0,16.0,0.0,2.0,0.02,2.6,,3619.047619047619,5.6,24.0,1.0,,,1.0,1.0,,,,,,,,,,,
G3LANGOS,1.0,7.2,6.0,0.0,2.0,0.02,0.216,,3312.3999999999996,4.375,18.4,1.0,,,1.0,1.0,,,,,,,,,,,
G3CEMON1,1.0,0.9,0.8,0.0,3.0,0.02,,,,4.375,1.4,1.0,,,,,,,,,,,,,,,
G3CEMON2,1.0,0.9,0.8,0.0,3.0,0.02,,,,4.375,1.4,1.0,,,,,,,,,,,,,,,
G3BAIGU1,1.0,0.0,0.0,0.0,3.0,0.02,,,,2.5,0.7,1.0,,,,,,,,,,,,,,,
G3BAIGU2,1.0,0.3,0.3,0.0,3.0,0.02,,,,2.5,0.7,1.0,,,,,,,,,,,,,,,
G3RINCON,1.0,9.8,4.0,0.0,2.0,0.02,0.4,,544.3607547169811,4.1531,10.1,1.0,,,,,,,,,,,,,,,
G3HATILL,1.0,8.0,4.0,0.0,3.0,0.02,0.9,,1104.4897959183675,1.7125,7.7,1.0,,,,,,,,,,,,,,,
G3HATIL2,1.0,0.0,0.0,0.0,3.0,0.02,,,,1.523,10.5,1.0,,,,,,,,,,,,,,,
G3JIMENO,1.0,5.0,4.0,0.0,3.0,0.02,0.73,,58.90666666666667,2.381,8.8,1.0,,,,,,,,,,,,,,,
G3ESALTO,1.0,0.3,0.3,0.0,3.0,0.02,,,,2.0,0.7,1.0,,,,,,,,,,,,,,,
G3NNAJAY,1.0,0.0,0.0,0.0,3.0,0.02,,,,2.0,0.4,1.0,,,,,,,,,,,,,,,
G3LANONE,1.0,0.0,0.0,0.0,3.0,0.02,,,,2.2222,0.1,1.0,,,,,,,,,,,,,,,
G3SYEGUA,1.0,6.9,5.0,0.0,3.0,0.02,0.9,,897.703071672355,3.4698,12.8,1.0,,,,,,,,,,,,,,,
G3SABANE,1.0,5.1,4.0,0.0,3.0,0.02,0.2,,35.72727272727274,1.7102,6.4,1.0,,,,,,,,,,,,,,,
G3LDAMAS,1.0,2.3,0.4,0.0,3.0,0.02,0.25,,330.1970933333334,3.8889,7.5,1.0,,,,,,,,,,,,,,,
G3LTORO1,1.0,3.6,1.5,0.0,3.0,0.02,0.4,,109.9411764705882,0.6111,4.7,1.0,,,,,,,,,,,,,,,
