flowgate_id,snapshot_id,fmax_mw
fg1,h_01,200.0
fg1,h_02,200.0
fg1,h_03,200.0
fg1,h_04,200.0
fg1,h_05,200.0
fg1,h_06,200.0
fg1,h_07,200.0
fg1,h_08,200.0
fg1,h_09,200.0
fg1,h_10,200.0
fg1,h_11,200.0
fg1,h_12,200.0
fg1,h_13,200.0
fg1,h_14,200.0
fg1,h_15,200.0
fg1,h_16,200.0
fg1,h_17,200.0
fg1,h_18,200.0
fg1,h_19,200.0
fg1,h_20,200.0
fg1,h_21,200.0
fg1,h_22,200.0
fg1,h_23,200.0
fg1,h_24,200.0
fg2,h_01,670.0
fg2,h_02,670.0
fg2,h_03,670.0
fg2,h_04,670.0
fg2,h_05,670.0
fg2,h_06,670.0
fg2,h_07,670.0
fg2,h_08,670.0
fg2,h_09,670.0
fg2,h_10,670.0
fg2,h_11,670.0
fg2,h_12,670.0
fg2,h_13,670.0
fg2,h_14,670.0
fg2,h_15,670.0
fg2,h_16,670.0
fg2,h_17,670.0
fg2,h_18,670.0
fg2,h_19,670.0
fg2,h_20,670.0
fg2,h_21,670.0
fg2,h_22,670.0
fg2,h_23,670.0
fg2,h_24,670.0
