flowgate_id,branch_name,ni,nf,cc,coefficient,orient,branch_exists,branch_kind
fg1,WVALDE__WSCNOE__L2,WVALDE,WSCNOE,L2,1.0,1,1,line
fg1,WVALDE__WSCNOE__L1,WVALDE,WSCNOE,L1,1.0,1,1,line
fg1,WSANTK__WSANTE__T1,WSANTK,WSANTE,T1,-0.3,1,1,transformer
fg1,WGIRAK__WGIRAE__T1,WGIRAK,WGIRAE,T1,-0.3,1,1,transformer
fg1,WPERAE__WPES1K__T1,WPERAE,WPES1K,T1,0.3,1,1,transformer
fg1,WPERBE__WPES2K__T1,WPERBE,WPES2K,T1,0.3,1,1,transformer
fg1,WMTFNE__WMTFNK__L1,WMTFNE,WMTFNK,L1,0.10200000000000001,1,1,line
fg2,WKQAZE__WPCATE__L1,WKQAZE,WPCATE,L1,1.0,1,1,line
fg2,WPIZAE__WVALBE__L1,WPIZAE,WVALBE,L1,1.0,1,1,line
fg2,WPIZAE__WJSAUE__L1,WPIZAE,WJSAUE,L1,1.0,1,1,line
