generator_id,generator_name,snapshot_id,snapshot_order,snapshot_label_modom,time_block_group,available_mw,static_pmax_mw,available_pu,source_sheet
G3AANDFO,AES ANDRÉS FO,h_01,1,1,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_02,2,2,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_03,3,3,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_04,4,4,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_05,5,5,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_06,6,6,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_07,7,7,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_08,8,8,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_09,9,9,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_10,10,10,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_11,11,11,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_12,12,12,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_13,13,13,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_14,14,14,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_15,15,15,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_16,16,16,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_17,17,17,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_18,18,18,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_19,19,19,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_20,20,20,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_21,21,21,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_22,22,22,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_23,23,23,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDFO,AES ANDRÉS FO,h_24,24,24,canonical_hours_24h,0.0,0.0,,Reporte de Disponibilidad
G3AANDGN,AES ANDRÉS GN,h_01,1,1,canonical_hours_24h,300.0,300.0,1.0,Reporte de Disponibilidad
G3AANDGN,AES ANDRÉS GN,h_02,2,2,canonical_hours_24h,300.0,300.0,1.0,Reporte de Disponibilidad
G3AANDGN,AES ANDRÉS GN,h_03,3,3,canonical_hours_24h,300.0,300.0,1.0,Reporte de Disponibilidad
G3AANDGN,AES ANDRÉS GN,h_04,4,4,canonical_hours_24h,300.0,300.0,1.0,Reporte de Disponibilidad
G3AANDGN,AES ANDRÉS GN,h_05,5,5,canonical_hours_24h,300.0,300.0,1.0,Reporte de Disponibilidad
G3AANDGN,AES ANDRÉS GN,h_06,6,6,canonical_hours_24h,300.0,300.0,1.0,Reporte de Disponibilidad
G3AANDGN,AES ANDRÉS GN,h_07,7,7,canonical_hours_24h,300.0,300.0,1.0,Reporte de Disponibilidad
G3AANDGN,AES ANDRÉS GN,h_08,8,8,canonical_hours_24h,300.0,300.0,1.0,Reporte de Disponibilidad
G3AANDGN,AES ANDRÉS GN,h_09,9,9,canonical_hours_24h,300.0,300.0,1.0,Reporte de Disponibilidad
G3AANDGN,AES ANDRÉS GN,h_10,10,10,canonical_hours_24h,300.0,300.0,1.0,Reporte de Disponibilidad
G3AANDGN,AES ANDRÉS GN,h_11,11,11,canonical_hours_24h,300.0,300.0,1.0,Reporte de Disponibilidad
G3AANDGN,AES ANDRÉS GN,h_12,12,12,canonical_hours_24h,300.0,300.0,1.0,Reporte de Disponibilidad
G3AANDGN,AES ANDRÉS GN,h_13,13,13,canonical_hours_24h,300.0,300.0,1.0,Reporte de Disponibilidad
G3AANDGN,AES ANDRÉS GN,h_14,14,14,canonical_hours_24h,300.0,300.0,1.0,Reporte de Disponibilidad
G3AANDGN,AES ANDRÉS GN,h_15,15,15,canonical_hours_24h,300.0,300.0,1.0,Reporte de Disponibilidad
G3AANDGN,AES ANDRÉS GN,h_16,16,16,canonical_hours_24h,300.0,300.0,1.0,Reporte de Disponibilidad
G3AANDGN,AES ANDRÉS GN,h_17,17,17,canonical_hours_24h,300.0,300.0,1.0,Reporte de Disponibilidad
G3AANDGN,AES ANDRÉS GN,h_18,18,18,canonical_hours_24h,300.0,300.0,1.0,Reporte de Disponibilidad
