generator_id,generator_name,generator_id_legacy,code_changed,bus_id,bus_resolution_method,bus_id_in_buses,enabled_flag,pmax_mw,pmin_mw,cvp,effective_pmax_mw,effective_pmin_mw,effective_cvp,limits_sanitization_method,cost_sanitization_method,technology_group,ssaa,mrpf,mrsf,factora,heat_parameter,pgn_mw,source_sheet_primary,source_row_number,source_name_sheet,factor_node_bus_id,factor_node_smc_point_id,centrales_terminal_bus_id
G3AANDFO,AES ANDRÉS FO,,,WAANDE,factor_node_injection,True,1,0.0,150.0,12816.028992932392,0.0,0.0,12816.028992932392,zero_pmax_forces_zero_pmin,source_e_datgen,1,0.03,,,6989.36170212766,5.737503520905375,318.1,e_datgen,64,Reporte de Disponibilidad,WAANDE,1754-AESP-01,
G3AANDGN,AES ANDRÉS GN,,,WAANDE,factor_node_injection,True,1,300.0,150.0,4764.031875543865,300.0,150.0,4764.031875543865,unchanged,source_e_datgen,1,0.03,14.0,45.0,6989.36170212766,5.737503520905375,318.1,e_datgen,65,Reporte de Disponibilidad,WAANDE,1754-AESP-01,
G3AGUAC1,AGUACATE 1,G3AGUAC1,NO,WAGUAE,factor_node_injection,True,1,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,source_e_datgen,2,0.02,3.0,3.0,7107.5,3.5,28.2,e_datgen,9,MAPEO CENTRALES DE GENERACION,WAGUAE,3400-AGUA-01,WAGU1K
G3AGUAC2,AGUACATE 2,G3AGUAC2,NO,WAGUAE,factor_node_injection,True,1,28.0,20.0,0.0,28.0,20.0,0.0,unchanged,source_e_datgen,2,0.02,2.0,3.0,5413.333333333333,3.5,28.2,e_datgen,10,MAPEO CENTRALES DE GENERACION,WAGUAE,3400-AGUA-02,WAGU2K
G3AVARG1,ANIANA VARGAS 1,G3AVARG1,NO,WTTA1K,factor_node_injection,True,1,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,source_e_datgen,3,0.02,,,,1.7778,0.3,e_datgen,34,MAPEO CENTRALES DE GENERACION,WTAV1K,2140-YUBO-01,WAVA1K
G3AVARG2,ANIANA VARGAS 2,G3AVARG2,NO,WTAV1K,centrales_zonas_terminal,True,1,0.2,0.2,0.0,0.2,0.2,0.0,unchanged,source_e_datgen,3,0.02,,,,1.7778,0.3,e_datgen,35,MAPEO CENTRALES DE GENERACION,,,WAVA1K
G3BAIGU1,BAIGUAQUE 1,G3BAIGU1,NO,WTAVBE,factor_node_injection,True,1,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,source_e_datgen,3,0.02,,,,2.5,0.7,e_datgen,20,MAPEO CENTRALES DE GENERACION,WTAVBE,2330-NIBA-04,WBAI1K
G3BAIGU2,BAIGUAQUE 2,G3BAIGU2,NO,WTAVBE,factor_node_injection,True,1,0.3,0.3,0.0,0.3,0.3,0.0,unchanged,source_e_datgen,3,0.02,,,,2.5,0.7,e_datgen,21,MAPEO CENTRALES DE GENERACION,WTAVBE,2330-NIBA-04,WBAI2K
G3BCARBO,BARAHONA CARBON,G3BARAHC,SI,WBARCE,factor_node_injection,True,1,50.0,29.0,3878.0956692543255,50.0,29.0,3878.0956692543255,unchanged,source_e_datgen,1,0.076,,,,2.9412,55.2,e_datgen,68,MAPEO CENTRALES DE GENERACION,WBARCE,3263-BCAR-01,WBCARK
G3BDEREC,BRAZO DERECHO,G3BDEREC,NO,WBDERF,factor_node_injection,True,1,1.0,0.0,0.0,1.0,0.0,0.0,unchanged,source_e_datgen,3,0.02,,,,1.3333,2.6,e_datgen,44,MAPEO CENTRALES DE GENERACION,WBDERF,2652-BDERF-T01,WBDERK
G3BERSAL,BERSAL,G3BERSAL,NO,WBERSF,factor_node_injection,True,1,8.0,6.0,9507.96926786114,8.0,6.0,9507.96926786114,unchanged,source_e_datgen,1,0.02,0.72,,59.12223866,,,e_datgen,103,MAPEO CENTRALES DE GENERACION,WBERSF,4805-CBCEK-C01,WCEMBK
G3CEMON1,CONTRA EMBALSE MONCION 1,G3CEMON1,NO,WTCEMK,factor_node_injection,True,1,0.9,0.8,0.0,0.9,0.8,0.0,unchanged,source_e_datgen,3,0.02,,,,4.375,1.4,e_datgen,18,MAPEO CENTRALES DE GENERACION,WTCEMK,2340-CESP-03,WCEMOK
G3CEMON2,CONTRA EMBALSE MONCION 2,G3CEMON2,NO,WTCEMK,centrales_zonas_terminal,True,1,0.9,0.8,0.0,0.9,0.8,0.0,unchanged,source_e_datgen,3,0.02,,,,4.375,1.4,e_datgen,19,MAPEO CENTRALES DE GENERACION,,,WCEMOK
G3CES1FO,CESPM 1 FO,,,WSPM2E,factor_node_injection,True,1,0.0,65.0,13136.486857413192,0.0,0.0,13136.486857413192,zero_pmax_forces_zero_pmin,source_e_datgen,1,0.035,2.95,6.82,921.5999999999999,3.8235,100.3,e_datgen,87,Reporte de Disponibilidad,WSPM2E,4801-CESP-01,
G3CES1GN,CESPM 1 GN,,,WSPM2E,factor_node_injection,True,1,90.0,66.0,3373.7348806246227,90.0,66.0,3373.7348806246227,unchanged,source_e_datgen,1,0.035,2.95,7.4,921.5999999999999,3.8235,100.3,e_datgen,90,Reporte de Disponibilidad,WSPM2E,4801-CESP-01,
G3CES2FO,CESPM 2 FO,,,WSPM2E,factor_node_injection,True,1,0.0,65.0,17822.175016928195,0.0,0.0,17822.175016928195,zero_pmax_forces_zero_pmin,source_e_datgen,1,0.035,3.14,6.82,1430.3999999999999,3.8235,100.3,e_datgen,88,Reporte de Disponibilidad,WSPM2E,4801-CESP-02,
G3CES2GN,CESPM 2 GN,,,WSPM2E,factor_node_injection,True,1,90.0,66.0,3344.4144512287744,90.0,66.0,3344.4144512287744,unchanged,source_e_datgen,1,0.035,3.14,8.86,1430.3999999999999,3.8235,100.3,e_datgen,91,Reporte de Disponibilidad,WSPM2E,4801-CESP-02,
G3CES3FO,CESPM 3 FO,,,WSPM2E,factor_node_injection,True,1,0.0,65.0,11868.24457019387,0.0,0.0,11868.24457019387,zero_pmax_forces_zero_pmin,source_e_datgen,1,0.035,3.26,6.82,830.3999999999999,3.8235,100.3,e_datgen,89,Reporte de Disponibilidad,WSPM2E,4801-CESP-03,
G3CES3GN,CESPM 3 GN,,,WSPM2E,factor_node_injection,True,1,90.0,66.0,3367.795728707031,90.0,66.0,3367.795728707031,unchanged,source_e_datgen,1,0.035,3.26,7.3,830.3999999999999,3.8235,100.3,e_datgen,92,Reporte de Disponibilidad,WSPM2E,4801-CESP-03,
G3DRODR1,DOMINGO RODRIGUEZ 1,G3DRODR1,NO,WDRODF,factor_node_injection,True,1,1.1,0.3,0.0,1.1,0.3,0.0,unchanged,source_e_datgen,3,0.02,,,,2.0,2.4,e_datgen,36,MAPEO CENTRALES DE GENERACION,WDRODF,3265-DROD-01,WDRODL
G3DRODR2,DOMINGO RODRIGUEZ 2,G3DRODR2,NO,WDRODF,factor_node_injection,True,1,1.1,0.3,0.0,1.1,0.3,0.0,unchanged,source_e_datgen,3,0.02,,,,2.0,2.4,e_datgen,37,MAPEO CENTRALES DE GENERACION,WDRODF,3265-DROD-01,WDRODL
G3E4CCFO,ENERGAS 4 CICLO COMBINADO FO,,,WENE4E,factor_node_injection,True,1,130.0,90.0,10314.034385519295,130.0,90.0,10314.034385519295,unchanged,source_e_datgen,1,0.035,3.63,11.87,3696.0,6.165146404744256,134.89999999999998,e_datgen,93,Reporte de Disponibilidad,WENE4E,4801-ENE4E-T01,
G3E4CCGN,ENERGAS 4 CICLO COMBINADO GN,,,WENE4E,factor_node_injection,True,1,130.0,94.0,4623.439868605826,130.0,94.0,4623.439868605826,unchanged,source_e_datgen,1,0.035,4.08,11.42,3696.0,6.165146404744256,134.89999999999998,e_datgen,94,Reporte de Disponibilidad,WENE4E,4801-ENE4E-T01,
G3EM2CFO,ESTRELLA DEL MAR 2 CFO,G3EM2CFO,NO,WEMA2E,factor_node_injection,True,1,110.0,49.0,7550.487920788639,110.0,49.0,7550.487920788639,unchanged,source_e_datgen,1,0.024,4.146,5.1228,171.864,,,e_datgen,74,MAPEO CENTRALES DE GENERACION,WEMA2E,1278-EMA2E-T01,
G3EM2CGN,ESTRELLA DEL MAR 2 CGN,G3EM2CGN,NO,WEMA2E,factor_node_injection,True,1,0.0,49.0,5586.933569336709,0.0,0.0,5586.933569336709,zero_pmax_forces_zero_pmin,source_e_datgen,1,0.024,4.146,5.1228,171.864,,,e_datgen,72,MAPEO CENTRALES DE GENERACION,WEMA2E,1278-EMA2E-T01,
G3EM2SFO,ESTRELLA DEL MAR 2 SFO,G3EM2SFO,NO,WEMA2E,factor_node_injection,True,1,0.0,28.0,7948.432066866375,0.0,0.0,7948.432066866375,zero_pmax_forces_zero_pmin,source_e_datgen,1,0.024,4.146,5.1228,171.864,,,e_datgen,75,MAPEO CENTRALES DE GENERACION,WEMA2E,1278-EMA2E-T01,
G3EM2SGN,ESTRELLA DEL MAR 2 SGN,G3EM2SGN,NO,WEMA2E,factor_node_injection,True,1,0.0,30.0,5871.479125533299,0.0,0.0,5871.479125533299,zero_pmax_forces_zero_pmin,source_e_datgen,1,0.024,4.146,5.1228,171.864,,,e_datgen,73,MAPEO CENTRALES DE GENERACION,WEMA2E,1278-EMA2E-T01,
G3EM3CCP,ESTRELLA DEL MAR 3 CCP,,,WEMB3F,factor_node_injection,True,1,0.0,46.0,3488.0963191245196,0.0,0.0,3488.0963191245196,zero_pmax_forces_zero_pmin,source_e_datgen,1,0.02,,,2248.9,5.849736858006042,99.3,e_datgen,77,Reporte de Disponibilidad,WEMB3F,1275-EMA3F-T02,
G3EM3CCT,ESTRELLA DEL MAR 3 CCT,,,WEMB3F,factor_node_injection,True,1,147.0,96.0,3440.60526817048,147.0,96.0,3440.60526817048,unchanged,source_e_datgen,1,0.02,,,2248.9,5.9897962075848294,150.3,e_datgen,76,Reporte de Disponibilidad,WEMB3F,1275-EMA3F-T02,
G3EM3CS,ESTRELLA DEL MAR 3 CS,,,WEMB3F,factor_node_injection,True,1,0.0,27.0,5088.550735763267,0.0,0.0,5088.550735763267,zero_pmax_forces_zero_pmin,source_e_datgen,1,0.02,,,2248.9,6.2625,102.0,e_datgen,78,Reporte de Disponibilidad,WEMB3F,1275-EMA3F-T02,
G3ESALTO,EL SALTO,G3ESALTO,NO,WCONSF,factor_node_injection,True,1,0.3,0.3,0.0,0.3,0.3,0.0,unchanged,source_e_datgen,3,0.02,,,,2.0,0.7,e_datgen,26,MAPEO CENTRALES DE GENERACION,WCONSF,2480-CONS-02,WESALK
G3ESOCO,PARQUE SOLAR EL SOCO,,,WESOCE,factor_node_injection,True,1,50.0,0.0,,50.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,111,Reporte de Disponibilidad,WESOCE,4646-PSESE-T01,
G3HATIL2,HATILLO 2,,,WHATIF,factor_node_injection,True,1,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,source_e_datgen,3,0.02,,,,1.523,10.5,e_datgen,24,Reporte de Disponibilidad,WHATIF,2530-HAT2F-T02,WHAT2K
G3HATILL,HATILLO,G3HATILL,NO,WHATIF,factor_node_injection,True,1,8.0,4.0,0.0,8.0,4.0,0.0,unchanged,source_e_datgen,3,0.02,0.9,,1104.4897959183675,1.7125,7.7,e_datgen,23,MAPEO CENTRALES DE GENERACION,WHATIF,2530-HATI-01,WHATIK
G3HTG,HAINA TG,G3HAINAG,SI,WHAINE,factor_node_injection,True,1,0.0,60.0,12991.409544879307,0.0,0.0,12991.409544879307,zero_pmax_forces_zero_pmin,source_e_datgen,1,0.002,5.3,,4000.0,6.4706,100.3,e_datgen,102,MAPEO CENTRALES DE GENERACION,WHAINE,1510-HA38-01,WHAIGK
G3IKM22,INCA KM22,G3IKM22,NO,WINCAF,factor_node_injection,True,1,14.4,4.5,9872.111559181876,14.4,4.5,9872.111559181876,unchanged,source_e_datgen,1,0.02,,,,,,e_datgen,98,MAPEO CENTRALES DE GENERACION,WINCAF,1952-INCA-01,
G3ITABO1,ITABO 1,G3ITABO1,NO,WITA1E,factor_node_injection,True,1,120.0,94.0,3171.3230794507767,120.0,94.0,3171.3230794507767,unchanged,source_e_datgen,1,0.08772520685156837,,,,3.7553,128.0,e_datgen,69,MAPEO CENTRALES DE GENERACION,WITA1E,1350-I138-04,WITA1K
G3ITABO2,ITABO 2,G3ITABO2,NO,WITA1E,factor_node_injection,True,1,120.0,100.0,3197.315959683714,120.0,100.0,3197.315959683714,unchanged,source_e_datgen,1,0.08546655784437929,,,,3.7647,132.0,e_datgen,70,MAPEO CENTRALES DE GENERACION,WITA1E,1350-I138-05,WITA2K
G3JCOCO1,JUANCHO LOS COCOS 1,G3JCOCOS,SI,WSLCOE,factor_node_injection,True,1,25.0,0.0,0.0,25.0,0.0,0.0,unchanged,source_e_datgen,4,0.02,,,,,,e_datgen,47,MAPEO CENTRALES DE GENERACION,WSLCOE,3266-LCOC-01,
G3JIGUE1,JIGUEY 1,G3JIGUE1,NO,WJIGBE,factor_node_injection,True,1,47.0,33.0,0.0,47.0,33.0,0.0,unchanged,source_e_datgen,2,0.02,2.3,6.0,11206.923076923076,4.35,49.0,e_datgen,7,MAPEO CENTRALES DE GENERACION,WJIGBE,3430-JIGU-01,WJIG1K
G3JIGUE2,JIGUEY 2,G3JIGUE2,NO,WJIGUE,factor_node_injection,True,1,46.0,33.0,0.0,46.0,33.0,0.0,unchanged,source_e_datgen,2,0.02,3.8,6.0,13595.142857142855,4.35,49.0,e_datgen,8,MAPEO CENTRALES DE GENERACION,WJIGUE,3430-JIGU-02,WJIG2K
G3JIMENO,JIMENOA,G3JIMENO,NO,WJIMEF,factor_node_injection,True,1,5.0,4.0,0.0,5.0,4.0,0.0,unchanged,source_e_datgen,3,0.02,0.73,,58.90666666666667,2.381,8.8,e_datgen,25,MAPEO CENTRALES DE GENERACION,WJIMEF,2440-JIMEF-T01,WJIMEK
G3LANGOS,LOPEZ ANGOSTURA,G3LANGOS,NO,WLANGE,factor_node_injection,True,1,7.2,6.0,0.0,7.2,6.0,0.0,unchanged,source_e_datgen,2,0.02,0.216,,3312.3999999999996,4.375,18.4,e_datgen,17,MAPEO CENTRALES DE GENERACION,WLANGE,2710-LANG-01,WLANGK
G3LANONE,LOS ANONES,G3LANONE,NO,WPDISF,factor_node_injection,True,1,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,source_e_datgen,3,0.02,,,,2.2222,0.1,e_datgen,28,MAPEO CENTRALES DE GENERACION,WPDISF,3280-PIZA-03,WPIZDF
G3LBARIA,LAS BARIAS,G3LBARIA,NO,WLBARF,factor_node_injection,True,1,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,source_e_datgen,3,0.02,,,,3.3333,0.9,e_datgen,41,MAPEO CENTRALES DE GENERACION,WLBARF,3010-BARI-01,WLBARK
G3LCOCO2,LOS COCOS 2,G3LCOCO2,NO,WSLCOE,factor_node_injection,True,1,50.0,0.0,0.0,50.0,0.0,0.0,unchanged,source_e_datgen,4,0.02,,,,,,e_datgen,48,MAPEO CENTRALES DE GENERACION,WSLCOE,3266-LCOC-01,
G3LDAMAS,LAS DAMAS,G3LDAMAS,NO,WLDAMF,factor_node_injection,True,1,2.3,0.4,0.0,2.3,0.4,0.0,unchanged,source_e_datgen,3,0.02,0.25,,330.1970933333334,3.8889,7.5,e_datgen,31,MAPEO CENTRALES DE GENERACION,WLDAMF,3200-LDAM-01T,WLDAMK
G3LMINA5,LOS MINA 5,G3LMINA5,NO,WLMI5E,factor_node_injection,True,1,0.0,60.0,11838.219433906577,0.0,0.0,11838.219433906577,zero_pmax_forces_zero_pmin,source_e_datgen,1,0.003,11.9,10.6,3234.9056603773583,6.1765,123.0,e_datgen,67,MAPEO CENTRALES DE GENERACION,WLMI5E,1185-MINA-01,WLMI5K
G3LMINA6,LOS MINA 6,G3LMINA6,NO,WLMI6E,factor_node_injection,True,1,0.0,60.0,11915.687996441002,0.0,0.0,11915.687996441002,zero_pmax_forces_zero_pmin,source_e_datgen,1,0.003,11.4,11.1,3990.566037735849,6.1765,123.0,e_datgen,66,MAPEO CENTRALES DE GENERACION,WLMI6E,1095-MINA-03,WLMI6K
G3LOPPFO,LOS ORÍGENES POWER PLANT FUEL OIL,G3LOPPFO,NO,WLORIE,factor_node_injection,True,1,58.9,14.0,8931.28947267821,58.9,14.0,8931.28947267821,unchanged,source_e_datgen,1,0.02,3.29,16.3,196.4712521,,,e_datgen,99,MAPEO CENTRALES DE GENERACION,WLORIE,4200-LOPP-01,
G3LOPPGN,LOS ORÍGENES POWER PLANT GAS NATURAL,G3LOPPGN,NO,WLORIE,factor_node_injection,True,1,0.0,14.0,7853.7093066638445,0.0,0.0,7853.7093066638445,zero_pmax_forces_zero_pmin,source_e_datgen,1,0.02,0.85,4.7,196.4712521,,,e_datgen,100,MAPEO CENTRALES DE GENERACION,WLORIE,4200-LOPP-01,
G3LTORO1,LOS TOROS 1,G3LTORO1,NO,WLTORF,factor_node_injection,True,1,3.6,1.5,0.0,3.6,1.5,0.0,unchanged,source_e_datgen,3,0.02,0.4,,109.9411764705882,0.6111,4.7,e_datgen,32,MAPEO CENTRALES DE GENERACION,WLTORF,3306-TORO-01,WLTO1K
G3LTORO2,LOS TOROS 2,G3LTORO2,NO,WTTO1K,centrales_zonas_terminal,True,1,3.3,1.5,0.0,3.3,1.5,0.0,unchanged,source_e_datgen,3,0.02,0.2,,63.64534883720929,0.6111,4.7,e_datgen,33,MAPEO CENTRALES DE GENERACION,,,WLTO1K
G3LVEGA,LA VEGA,G3LVEGA,NO,WGVEGF,factor_node_injection,True,1,68.0,13.85,8634.091847901183,68.0,13.85,8634.091847901183,unchanged,source_e_datgen,1,0.058,4.6,13.0,40.49076023,,,e_datgen,83,MAPEO CENTRALES DE GENERACION,WGVEGF,2220-LVPL-01,
G3MAGUE1,MAGUEYAL 1,G3MAGUE1,NO,WMAGUF,factor_node_injection,True,1,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,source_e_datgen,3,0.02,,,,1.7778,1.5,e_datgen,39,MAPEO CENTRALES DE GENERACION,WMAGUF,3170-MAGU-01,WMAGUK
G3MAGUE2,MAGUEYAL 2,G3MAGUE2,NO,WMAGUF,factor_node_injection,True,1,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,source_e_datgen,3,0.02,,,,1.7778,1.5,e_datgen,40,MAPEO CENTRALES DE GENERACION,WMAGUF,3170-MAGU-01,WMAGUK
G3METALD,METALDOM,G3METALD,NO,WMETAE,factor_node_injection,True,1,0.0,10.5,6177.636689413543,0.0,0.0,6177.636689413543,zero_pmax_forces_zero_pmin,source_e_datgen,1,0.029,1.1,,164.9252786,,,e_datgen,84,MAPEO CENTRALES DE GENERACION,WMETAE,1470-GMET-01,WMETAK
G3MONCI1,MONCION 1,G3MONCI1,NO,WMONCE,factor_node_injection,True,1,26.0,16.0,0.0,26.0,16.0,0.0,unchanged,source_e_datgen,2,0.02,2.45,,2337.5,5.6,24.0,e_datgen,15,MAPEO CENTRALES DE GENERACION,WMONCE,2340-MONC-01T,WMONCK
G3MONCI2,MONCION 2,G3MONCI2,NO,WMONCE,factor_node_injection,True,1,26.0,16.0,0.0,26.0,16.0,0.0,unchanged,source_e_datgen,2,0.02,2.6,,3619.047619047619,5.6,24.0,e_datgen,16,MAPEO CENTRALES DE GENERACION,WMONCE,2340-MONC-02T,WMONCK
G3MPLACS,MANZANILLO POWER LAND CICLO SIMPLE,,,WMPL1D,factor_node_injection,True,1,0.0,170.0,10771.124245202165,0.0,0.0,10771.124245202165,zero_pmax_forces_zero_pmin,source_e_datgen,1,0.035,10.4,,23389.615936254977,7.180929,291.599995488049,e_datgen,148,Reporte de Disponibilidad,WMPL1D,2377-MPLGD-T01,
G3MPSOLA,MONTE PLATA SOLAR,G3MPSOLA,NO,WMPSOF,factor_node_injection,True,1,60.0,0.0,,60.0,0.0,0.0,unchanged,heuristic_zero_for_variable_renewable,4,0.02,,,,,,e_datgen,104,MAPEO CENTRALES DE GENERACION,WMPSOF,1445-MPSOF-T01,
G3MRIO,MONTE RIO,G3MRIO,NO,WMRI2E,factor_node_injection,True,1,85.2,45.0,9784.070743838905,85.2,45.0,9784.070743838905,unchanged,source_e_datgen,1,0.022,3.18,4.29,25.19153182,,,e_datgen,79,MAPEO CENTRALES DE GENERACION,WMRI2E,3300-MRIO-01,
G3NNAJAY,NIZAO NAJAYO,G3NNAJAY,NO,WPDISF,factor_node_injection,True,1,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,source_e_datgen,3,0.02,,,,2.0,0.4,e_datgen,27,MAPEO CENTRALES DE GENERACION,WPDISF,3280-PIZA-04,WPIZDF
G3PAK01,POWERSHIP AZUA KPS 01,,,WPAK0E,factor_node_injection,True,1,220.8,36.0,,220.8,36.0,,unchanged,missing,4,0.02,,,,,,e_datgen,144,Reporte de Disponibilidad,WPAK0E,3413-PAK0E-T01,
G3PAK26,POWERSHIP AZUA KPS 26,,,WPAK2E,factor_node_injection,True,1,108.0,12.0,8295.48541133939,108.0,12.0,8295.48541133939,unchanged,source_e_datgen,1,0.02,4.848,,488.2497014364811,,,e_datgen,145,Reporte de Disponibilidad,WPAK2E,3403-PAK1E-F01,
