load_id,load_id_source,time_block_group,time_block_id,time_block_order,hour_block_start_label,snapshot_id,p_set_mw,source_sheet,aggregation_row_count,load_id_raw_examples,bus_resolution_method_examples
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_01,1,00:00,h_01,2.058130795,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_02,2,01:00,h_02,2.049048024,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_03,3,02:00,h_03,2.004857726,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_04,4,03:00,h_04,2.019583934,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_05,5,04:00,h_05,2.055952213,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_06,6,05:00,h_06,1.959407289,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_07,7,06:00,h_07,1.868273281,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_08,8,07:00,h_08,1.723972469,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_09,9,08:00,h_09,1.349273366,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_10,10,09:00,h_10,0.903404677,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_11,11,10:00,h_11,0.244952873,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_12,12,11:00,h_12,0.147205971,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_13,13,12:00,h_13,0.232389978,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_14,14,13:00,h_14,0.939162123,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_15,15,14:00,h_15,1.272223406,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_16,16,15:00,h_16,2.330343414,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_17,17,16:00,h_17,3.585534579,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_18,18,17:00,h_18,3.589659598,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_19,19,18:00,h_19,3.708345755,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_20,20,19:00,h_20,3.743531491,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_21,21,20:00,h_21,3.833562296,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_22,22,21:00,h_22,3.887742468,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_23,23,22:00,h_23,3.843178582,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABCOF,resolved_bus_id,load_blocks_pdemanda_24h,h_24,24,23:00,h_24,3.838372723,PDemanda,1,ZABCOF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_01,1,00:00,h_01,0.29085,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_02,2,01:00,h_02,0.26151,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_03,3,02:00,h_03,0.26241,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_04,4,03:00,h_04,0.26216,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_05,5,04:00,h_05,0.25966,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_06,6,05:00,h_06,0.26715,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_07,7,06:00,h_07,0.27288,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_08,8,07:00,h_08,0.21975,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_09,9,08:00,h_09,0.21589,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_10,10,09:00,h_10,0.04598,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_11,11,10:00,h_11,0.05281,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_12,12,11:00,h_12,0.13323,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_13,13,12:00,h_13,0.08592,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_14,14,13:00,h_14,0.23562,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_15,15,14:00,h_15,0.06379,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_16,16,15:00,h_16,0.30431,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_17,17,16:00,h_17,0.56454,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_18,18,17:00,h_18,0.69347,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_19,19,18:00,h_19,0.7548,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_20,20,19:00,h_20,0.74914,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_21,21,20:00,h_21,0.68599,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_22,22,21:00,h_22,0.58257,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_23,23,22:00,h_23,0.5435,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABISF,resolved_bus_id,load_blocks_pdemanda_24h,h_24,24,23:00,h_24,0.46131,PDemanda,1,ZABISF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_01,1,00:00,h_01,9.770688536,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_02,2,01:00,h_02,9.334455235,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_03,3,02:00,h_03,9.017866838,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_04,4,03:00,h_04,8.748592091,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_05,5,04:00,h_05,8.420864807,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_06,6,05:00,h_06,8.015923801,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_07,7,06:00,h_07,7.481225085,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_08,8,07:00,h_08,6.823588206,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_09,9,08:00,h_09,6.785642886,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_10,10,09:00,h_10,7.061379934,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_11,11,10:00,h_11,7.361655811,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_12,12,11:00,h_12,7.807893137,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_13,13,12:00,h_13,8.142379119,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_14,14,13:00,h_14,8.443509669,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_15,15,14:00,h_15,8.560110081,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_16,16,15:00,h_16,8.713525586,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_17,17,16:00,h_17,9.129375098,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_18,18,17:00,h_18,9.271625026,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_19,19,18:00,h_19,9.627322952,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_20,20,19:00,h_20,9.973012329,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_21,21,20:00,h_21,10.75800062,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_22,22,21:00,h_22,10.75055283,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_23,23,22:00,h_23,10.91183472,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WABRUF,resolved_bus_id,load_blocks_pdemanda_24h,h_24,24,23:00,h_24,10.79440099,PDemanda,1,ZABRUF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_01,1,00:00,h_01,0.6310605500518087,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_02,2,01:00,h_02,0.6213468175286764,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_03,3,02:00,h_03,0.6034354659492238,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_04,4,03:00,h_04,0.6115971363761827,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_05,5,04:00,h_05,0.5901039101083064,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_06,6,05:00,h_06,0.5662533674931305,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_07,7,06:00,h_07,0.6388999195556875,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_08,8,07:00,h_08,0.5663355040691409,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_09,9,08:00,h_09,0.4677814890594563,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_10,10,09:00,h_10,0.31706410134838897,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_11,11,10:00,h_11,0.2490227445185323,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_12,12,11:00,h_12,0.30262153908132655,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_13,13,12:00,h_13,0.5098433592975293,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_14,14,13:00,h_14,0.4220613488303873,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_15,15,14:00,h_15,0.43409653322457087,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_16,16,15:00,h_16,0.5282172565204376,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_17,17,16:00,h_17,0.5725434348593468,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_18,18,17:00,h_18,0.6584674422447742,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_19,19,18:00,h_19,0.7445591888768379,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_20,20,19:00,h_20,0.7985063366195888,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_21,21,20:00,h_21,0.7418129291738057,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_22,22,21:00,h_22,0.714375359141793,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_23,23,22:00,h_23,0.6964266866348571,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
WACIBF,resolved_bus_id,load_blocks_pdemanda_24h,h_24,24,23:00,h_24,0.6635979239869877,PDemanda,1,ZACIBF-D1,unique_bus_in_demanda_smc
