load_id_raw,load_id_canonical_heuristic,resolved_bus_id,bus_resolution_method,source_row_number,time_block_group,time_block_id,time_block_order,hour_block_start_label,snapshot_id,p_set_mw,source_sheet
ZHNVAF-D1,WHNVAF,WHENUF,unique_bus_in_demanda_smc,2,load_blocks_pdemanda_24h,h_01,1,00:00,h_01,1.257653286,PDemanda
ZHNVAF-D1,WHNVAF,WHENUF,unique_bus_in_demanda_smc,2,load_blocks_pdemanda_24h,h_02,2,01:00,h_02,1.225367107,PDemanda
ZHNVAF-D1,WHNVAF,WHENUF,unique_bus_in_demanda_smc,2,load_blocks_pdemanda_24h,h_03,3,02:00,h_03,1.187015429,PDemanda
ZHNVAF-D1,WHNVAF,WHENUF,unique_bus_in_demanda_smc,2,load_blocks_pdemanda_24h,h_04,4,03:00,h_04,1.161296464,PDemanda
ZHNVAF-D1,WHNVAF,WHENUF,unique_bus_in_demanda_smc,2,load_blocks_pdemanda_24h,h_05,5,04:00,h_05,1.14010925,PDemanda
ZHNVAF-D1,WHNVAF,WHENUF,unique_bus_in_demanda_smc,2,load_blocks_pdemanda_24h,h_06,6,05:00,h_06,1.207005321,PDemanda
ZHNVAF-D1,WHNVAF,WHENUF,unique_bus_in_demanda_smc,2,load_blocks_pdemanda_24h,h_07,7,06:00,h_07,1.750653464,PDemanda
ZHNVAF-D1,WHNVAF,WHENUF,unique_bus_in_demanda_smc,2,load_blocks_pdemanda_24h,h_08,8,07:00,h_08,2.005420857,PDemanda
ZHNVAF-D1,WHNVAF,WHENUF,unique_bus_in_demanda_smc,2,load_blocks_pdemanda_24h,h_09,9,08:00,h_09,2.176630714,PDemanda
ZHNVAF-D1,WHNVAF,WHENUF,unique_bus_in_demanda_smc,2,load_blocks_pdemanda_24h,h_10,10,09:00,h_10,2.298860786,PDemanda
ZHNVAF-D1,WHNVAF,WHENUF,unique_bus_in_demanda_smc,2,load_blocks_pdemanda_24h,h_11,11,10:00,h_11,2.342980643,PDemanda
ZHNVAF-D1,WHNVAF,WHENUF,unique_bus_in_demanda_smc,2,load_blocks_pdemanda_24h,h_12,12,11:00,h_12,2.298764679,PDemanda
ZHNVAF-D1,WHNVAF,WHENUF,unique_bus_in_demanda_smc,2,load_blocks_pdemanda_24h,h_13,13,12:00,h_13,2.270249107,PDemanda
ZHNVAF-D1,WHNVAF,WHENUF,unique_bus_in_demanda_smc,2,load_blocks_pdemanda_24h,h_14,14,13:00,h_14,2.314257071,PDemanda
ZHNVAF-D1,WHNVAF,WHENUF,unique_bus_in_demanda_smc,2,load_blocks_pdemanda_24h,h_15,15,14:00,h_15,2.394475286,PDemanda
ZHNVAF-D1,WHNVAF,WHENUF,unique_bus_in_demanda_smc,2,load_blocks_pdemanda_24h,h_16,16,15:00,h_16,2.333707,PDemanda
ZHNVAF-D1,WHNVAF,WHENUF,unique_bus_in_demanda_smc,2,load_blocks_pdemanda_24h,h_17,17,16:00,h_17,2.310502143,PDemanda
ZHNVAF-D1,WHNVAF,WHENUF,unique_bus_in_demanda_smc,2,load_blocks_pdemanda_24h,h_18,18,17:00,h_18,2.375746571,PDemanda
