load_id_raw,resolved_bus_id,resolution_method,bus_candidate_count,bus_candidates,active_bus_candidates,metadata_bus_candidates,smc_row_count,smc_load_id_examples,load_name_examples,load_type_examples
ZABCOF-D1,WABCOF,unique_bus_in_demanda_smc,1,['WABCOF'],['WABCOF'],['WABCOF'],1,['3303-ABCOF-T01'],['ABCO'],['Declarado']
ZABISF-D1,WABISF,unique_bus_in_demanda_smc,1,['WABISF'],['WABISF'],['WABISF'],1,['2625-ABISF-T01'],['ARROZ BISONO'],['Declarado']
ZABRUF-D1,WABRUF,unique_bus_in_demanda_smc,1,['WABRUF'],['WABRUF'],['WABRUF'],1,['1295-ABRUF-T01'],['ACUEDUCTO BRUJUELA'],['Declarado']
ZACIBF-D1,WACIBF,unique_bus_in_demanda_smc,1,['WACIBF'],['WACIBF'],['WACIBF'],1,['2734-ACIBF-T01'],['ACERO CIBAO'],['Proyectado']
ZCCOLF-D1,WADMIF,unique_bus_in_demanda_smc,1,['WADMIF'],['WADMIF'],['WADMIF'],1,['3085-ADMIF-T01'],['ARGOS DOMINICANA (CEMENTO COLÓN)'],['Declarado']
ZADOMF-D1,WADOMF,unique_bus_in_demanda_smc,1,['WADOMF'],['WADOMF'],['WADOMF'],1,['1101-ADOMF-T01'],['ALUMINIO DOMINICANO'],['Declarado']
ZAHMIF-D1,WAHMIF,unique_bus_in_demanda_smc,1,['WAHMIF'],['WAHMIF'],['WAHMIF'],1,['2165-AHMIF-T01'],['ACUADUCTO HERMANAS MIRABAL'],['Declarado']
ZAHOBF-D1,WAHOBF,unique_bus_in_demanda_smc,1,['WAHOBF'],['WAHOBF'],['WAHOBF'],1,['1241-AHONF-T02'],['ARROYO HONDO B'],['Declarado']
ZAHONF-D1,WAHONF,unique_bus_in_demanda_smc,1,['WAHONF'],['WAHONF'],['WAHONF'],1,['1240-AHONF-T01'],['ARROYO HONDO'],['Declarado']
ZAAMEF-D1,WAIAMF,unique_bus_in_demanda_smc,1,['WAIAMF'],['WAIAMF'],['WAIAMF'],1,['1321-AAMEF-T01'],['AEROPUERTO INTERNACIONAL LAS AMÉRICAS'],['Declarado']
ZAIAZF-D1,WAIAZF,unique_bus_in_demanda_smc,1,['WAIAZF'],['WAIAZF'],['WAIAZF'],1,['3301-AIAZF-T01'],['ACUEDUCTO INAPA AZUA'],['Proyectado']
ZABARF-D1,WAIBAF,unique_bus_in_demanda_smc,1,['WAIBAF'],['WAIBAF'],['WAIBAF'],1,['3284-AIBAF-T01'],['AEROPUERTO INTERNACIONAL BARAHONA'],['Declarado']
ZAHIGF-D1,WAIISF,unique_bus_in_demanda_smc,1,['WAIISF'],['WAIISF'],['WAIISF'],1,['1239-AHIGF-T01'],['AEROPUERTO INTERNACIONAL LA ISABELA'],['Declarado']
ZALISF-D1,WAISAF,unique_bus_in_demanda_smc,1,['WAISAF'],['WAISAF'],['WAISAF'],1,['1539-AISAF-T01'],['ACUEDUCTO LA ISABELA'],['Declarado']
ZAISCF-D1,WAISCF,unique_bus_in_demanda_smc,1,['WAISCF'],['WAISCF'],['WAISCF'],1,['3287-AISCF-T01'],['ACUEDUCTO INAPA SAN CRISTOBAL'],['Declarado']
ZAISOF-D1,WAISOF,unique_bus_in_demanda_smc,1,['WAISOF'],['WAISOF'],['WAISOF'],1,['2642-AISOF-T01'],['ACUEDUCTO INAPA SOSUA'],['Declarado']
ZAPPLF-D1,WAIUNF,unique_bus_in_demanda_smc,1,['WAIUNF'],['WAIUNF'],['WAIUNF'],4,"['2641-APPLF-F01', '2641-APPLF-T01', '2641-APPLK-C01', '2641-APPLK-F01']",['AEROPUERTO INTERNACIONAL LA UNIÓN'],['Declarado']
ZZSPMF-D1,WAIZSF,unique_bus_in_demanda_smc,1,['WAIZSF'],['WAIZSF'],['WAIZSF'],1,['4190-ZSPMF-T01'],['ASOCIACIÓN INDUSUSTRIAS ZONA FRANCA SAN PEDRO DE MACORIS'],['Proyectado']
ZAORIF-D1,WAORIF,unique_bus_in_demanda_smc,1,['WAORIF'],['WAORIF'],['WAORIF'],1,['1345-AORIF-T01'],['ACUEDUCTO ORIENTAL'],['Declarado']
ZAPERF-D1,WAPERF,unique_bus_in_demanda_smc,1,['WAPERF'],['WAPERF'],['WAPERF'],1,['2080-APERF-T01'],['ABANICO PER'],['Declarado']
ZAPFAF-D1,WAPFAF,unique_bus_in_demanda_smc,1,['WAPFAF'],['WAPFAF'],['WAPFAF'],1,['2321-APFAF-T01'],['ARTÍCULOS PIEL FAVORITOS'],['Proyectado']
ZAQUIF-D1,WAQUIF,unique_bus_in_demanda_smc,1,['WAQUIF'],['WAQUIF'],['WAQUIF'],1,['2590-AQUIF-T01'],['ACUEDUCTO QUINIGUA'],['Declarado']
ZASOEF-D1,WASOEF,unique_bus_in_demanda_smc,1,['WASOEF'],['WASOEF'],['WASOEF'],1,['3295-ASOEF-T01'],['ACUEDUCTO SUR-OESTE'],['Declarado']
ZAZUAF-D1,WAZUAF,unique_bus_in_demanda_smc,1,['WAZUAF'],['WAZUAF'],['WAZUAF'],1,['3160-AZUAF-T01'],['AZUA'],['Declarado']
ZBALDF-D1,WBALDF,unique_bus_in_demanda_smc,1,['WBALDF'],['WBALDF'],['WBALDF'],1,['2322-BDOMF-T01'],['BALDOM'],['Declarado']
ZBANIF-D2,WBANIF,unique_bus_in_demanda_smc,1,['WBANIF'],['WBANIF'],['WBANIF'],2,"['3100-BANIF-T01', '3100-BANIF-T02']",['BANÍ'],"['Declarado', 'Proyectado']"
ZBAPEF-D1,WBAPEF,unique_bus_in_demanda_smc,1,['WBAPEF'],['WBAPEF'],['WBAPEF'],1,['3120-BAPEF-T01'],['BANÍ PER'],['Declarado']
ZBARAF-D2,WBARAF,unique_bus_in_demanda_smc,1,['WBARAF'],['WBARAF'],['WBARAF'],1,['3220-BARAF-T01'],['BARAHONA 69'],['Declarado']
ZBASIF-D1,WBASIF,unique_bus_in_demanda_smc,1,['WBASIF'],['WBASIF'],['WBASIF'],1,['1331-BASIF-T01'],['BASE AÉREA SAN ISIDRO'],['Declarado']
ZBAYOF-D1,WBAYOF,unique_bus_in_demanda_smc,1,['WBAYOF'],['WBAYOF'],['WBAYOF'],1,['1300-BAYOF-T01'],['BAYONA'],['Declarado']
ZBCHIE-D1,WBCHIE,unique_bus_in_demanda_smc,1,['WBCHIE'],['WBCHIE'],['WBCHIE'],8,"['1700-BCHIE-F02', '1700-BCHIE-T01', '1700-HHAMK-C01', '1700-HHAMK-F01', '1700-LLAMK-C01']",['BOCA CHICA 138'],"['Declarado', 'Proyectado']"
ZBCHIF-D1,WBCHIF,unique_bus_in_demanda_smc,1,['WBCHIF'],['WBCHIF'],[],4,"['1700-BCHIE-F02', '1700-BCHIE-T01']",['BOCA CHICA 69'],"['Declarado', 'Proyectado']"
ZBCHIF-D2,WBCHIF,unique_bus_in_demanda_smc,1,['WBCHIF'],[],[],2,['1700-HHAMK-F01'],['BOCA CHICA 69'],['Declarado']
ZBENEF-D1,WBENEF,unique_bus_in_demanda_smc,1,['WBENEF'],['WBENEF'],['WBENEF'],1,['4201-BENEK-C01'],['BENEDICTO'],['Declarado']
ZBLECF-D1,WBLECF,unique_bus_in_demanda_smc,1,['WBLECF'],['WBLECF'],['WBLECF'],1,['4100-BLECK-T01'],['BATEY LECHUGA'],['Declarado']
ZBMATF-D1,WBMATF,unique_bus_in_demanda_smc,1,['WBMATF'],['WBMATF'],['WBMATF'],1,['3101-BMATF-T01'],['BANÍ MATADERO'],['Declarado']
