,G3PCATA2,G3PCATA1,G3ITABO1,G3ITABO2,G3CES2GN,G3CES3GN,G3CES1GN,G3EM3CCT,G3QUI2GN,G3EM3CCP,G3BCARBO,G3QUI1GN,G3Q1SPGN,G3E4CCGN,G3AANDGN,G3EM3CS,G3EM2CGN,G3SIBACC,G3EM2SGN,G3METALD,G3QUI1FO,G3Q1SPFO,G3QUI2FO,G3EM2CFO,G3SIBACS,G3SESTE,G3EM2SFO,G3LOPPGN,G3LVEGA,G3PIMEN3,G3PIMEN4,G3PAK60,G3PALAMA,G3PIMEN1,G3PAK26,G3PEMCT,G3PIMEN2,G3PALENQ,G3PEMCP,G3LOPPFO,G3IKM22,G3BERSAL,G3MRIO,G3MPLACS,G3E4CCFO,G3LMINA5,G3LMINA6,G3CES3FO,G3HTG,G3AANDFO,G3CES1FO,G3SLORE1,G3CES2FO,G3TAVER1,G3TAVER2,G3JIGUE1,G3JIGUE2,G3AGUAC1,G3AGUAC2,G3VALDE1,G3VALDE2,G3RBLAN1,G3RBLAN2,G3MONCI1,G3MONCI2,G3LANGOS,G3RINCON,G3PINAL1,G3PINAL2,G3PALOM1,G3PALOM2,G3CEMON1,G3CEMON2,G3BAIGU1,G3BAIGU2,G3HATILL,G3JIMENO,G3ESALTO,G3NNAJAY,G3LANONE,G3SYEGUA,G3SABANE,G3LDAMAS,G3LTORO1,G3LTORO2,G3AVARG1,G3AVARG2,G3DRODR1,G3DRODR2,G3RJCRUZ,G3MAGUE1,G3MAGUE2,G3LBARIA,G3BDEREC,G3HATIL2,G3JCOCO1,G3LCOCO2,G3QCABRE,G3PELARI,G3PELAR2,G3MPSOLA,G3SPBIOE,G3PFMSO1,G3PEACLA,G3PEGUAN,G3PEMATA,G3PELGUZ,G3PELGU2,G3PSCANO,G3PFMPAL,G3PFBAYA,G3PSGIRA,G3SANTAS,G3ESOCO,G3PSESPE,G3PFCALA,G3PFMATR,G3PFCUM1,G3PFCUM2,G3PFLNEG,G3PFMAR1,G3PFSAJO,G3PFVICT,G3PFMIRA,G3PFWCA2,G3PFWCA3,G3PFCOT1,G3PFCOT2,G3PFCOT3,G3PFCOAS,G3PFPER1,G3PFPER2,G3PFLUCI,G3PFMART,G3PFCUM4,G3PFPAY1,G3PAK01,G3PEESPE,G3PFVILL,G3PFESP2
h_01,360.0,300.0,120.0,120.0,87.3,87.3,87.3,147.0,190.2,0.0,49.03,128.9,65.95,122.8,291.0,0.0,0.0,254.3,0.0,0.0,0.0,0.0,0.0,105.66,0.0,43.5,0.0,0.0,55.39,36.92,35.11,0.0,59.61,13.12,0.0,239.45,12.13,12.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3,0.0,42.2,0.0,26.0,0.0,0.0,11.5,0.0,0.0,23.4,7.0,0.0,0.0,24.25,0.0,0.0,0.9,0.9,0.0,0.3,7.76,4.5,0.3,0.0,0.0,6.9,4.95,2.0,3.49,3.3,0.0,0.2,1.1,1.1,0.0,0.0,0.0,0.0,1.0,0.0,12.96,24.65,3.03,30.16,24.86,0.0,30.0,0.0,20.18,21.62,20.98,45.06,33.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,21.36,0.0,0.0
h_02,360.0,300.0,120.0,120.0,87.3,87.3,87.3,147.0,190.24,0.0,49.03,128.9,65.95,122.8,276.56,0.0,0.0,254.3,0.0,0.0,0.0,0.0,0.0,101.82,0.0,43.5,0.0,0.0,27.17,31.29,23.69,0.0,33.05,13.12,0.0,239.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3,0.0,42.2,0.0,26.0,0.0,0.0,11.5,0.0,0.0,23.4,7.0,0.0,0.0,24.25,0.0,0.0,0.9,0.9,0.0,0.3,7.76,4.5,0.3,0.0,0.0,6.9,4.95,2.0,3.49,3.3,0.0,0.2,1.1,1.1,0.0,0.0,0.0,0.0,1.0,0.0,13.11,24.75,3.01,30.36,25.37,0.0,30.0,0.0,22.76,22.07,19.05,44.82,31.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,22.47,0.0,0.0
h_03,360.0,300.0,120.0,120.0,87.3,87.3,87.3,147.0,190.21,0.0,49.03,128.9,65.95,122.8,278.33,0.0,0.0,254.3,0.0,0.0,0.0,0.0,0.0,101.82,0.0,22.75,0.0,0.0,20.15,31.29,23.69,0.0,0.0,13.11,0.0,239.45,12.13,12.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0.0,26.0,0.0,0.0,11.5,0.0,0.0,23.4,7.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.3,7.76,4.5,0.3,0.0,0.0,6.9,4.95,2.0,3.49,3.3,0.0,0.2,1.1,1.1,0.0,0.0,0.0,0.0,1.0,0.0,13.39,25.49,3.1,30.64,25.51,0.0,30.0,0.0,26.07,22.88,17.2,39.17,26.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,23.17,0.0,0.0
h_04,360.0,300.0,120.0,120.0,87.3,87.3,87.3,147.0,190.24,0.0,49.03,128.9,65.95,122.8,275.51,0.0,0.0,254.3,0.0,0.0,0.0,0.0,0.0,69.32,0.0,0.0,0.0,0.0,20.15,31.29,23.69,0.0,33.05,13.11,0.0,239.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0.0,26.0,0.0,0.0,11.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.3,7.76,4.5,0.3,0.0,0.0,6.9,4.95,2.0,3.49,3.3,0.0,0.2,1.1,1.1,0.0,0.0,0.0,0.0,1.0,0.0,13.6,26.02,3.19,31.53,25.95,0.0,30.0,0.0,26.99,23.21,14.68,31.5,21.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,23.22,0.0,0.0
h_05,360.0,300.0,120.0,120.0,87.3,87.3,87.3,147.0,190.24,0.0,49.03,128.9,65.95,122.8,262.2,0.0,0.0,254.3,0.0,0.0,0.0,0.0,0.0,60.99,0.0,0.0,0.0,0.0,20.15,31.29,23.69,0.0,0.0,0.0,0.0,239.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0.0,26.0,0.0,0.0,11.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.3,7.76,4.5,0.3,0.0,0.0,6.9,4.95,2.0,3.49,3.3,0.0,0.2,1.1,1.1,0.0,0.0,0.0,0.0,1.0,0.0,14.02,26.68,3.28,32.23,26.32,0.0,30.0,0.0,27.84,23.48,13.72,29.76,20.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,23.77,0.0,0.0
h_06,360.0,300.0,120.0,120.0,87.3,87.3,87.3,147.0,190.24,0.0,49.03,128.9,65.95,122.8,264.72,0.0,0.0,254.3,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,22.95,31.29,23.69,0.0,0.0,13.12,0.0,239.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,11.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.3,7.76,4.5,0.3,0.0,0.0,6.9,4.95,2.0,3.49,3.3,0.0,0.2,1.1,1.1,0.0,0.0,0.0,0.0,1.0,0.0,14.49,27.49,3.37,32.9,26.74,0.0,30.0,0.0,23.63,20.47,14.03,25.5,17.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,23.14,0.0,0.0
h_07,360.0,300.0,120.0,120.0,87.3,87.3,87.3,147.0,190.24,0.0,49.03,128.9,63.71,111.38,246.0,0.0,0.0,254.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.69,0.0,0.0,0.0,0.0,229.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,11.5,0.0,0.0,0.0,7.0,9.4,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.3,7.76,4.5,0.3,0.0,0.0,6.9,4.95,2.0,3.49,3.3,0.0,0.2,1.1,1.1,0.0,0.0,0.0,0.0,1.0,0.0,15.15,28.67,3.46,34.01,27.78,1.6,30.0,0.89,20.44,18.5,13.77,21.51,15.73,0.32,1.22,1.16,2.62,1.34,1.92,2.95,0.95,1.03,3.49,2.22,0.0,0.39,1.38,1.43,2.81,1.48,1.65,1.54,1.54,1.53,3.31,1.79,1.85,0.19,1.24,5.81,4.58,15.0,21.92,3.09,40.0
h_08,360.0,300.0,120.0,120.0,79.43,80.0,79.9,147.0,168.24,0.0,48.83,128.1,15.32,109.22,190.56,0.0,0.0,144.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.69,0.0,0.0,0.0,0.0,198.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,11.5,0.0,0.0,0.0,7.0,9.4,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.3,7.76,4.5,0.3,0.0,0.0,6.9,4.95,2.0,3.49,3.3,0.0,0.2,1.1,1.1,0.0,0.0,0.0,0.0,1.0,0.0,15.54,29.55,3.58,33.91,27.51,10.62,30.0,6.85,18.63,17.39,13.21,19.98,14.77,4.14,8.03,8.03,22.65,8.73,11.45,23.16,6.25,6.98,20.93,12.87,0.0,1.92,9.71,8.66,17.68,9.64,10.67,9.28,9.29,9.15,21.04,11.01,11.24,1.34,6.46,20.72,19.94,15.0,20.01,18.24,40.0
h_09,291.81,250.0,94.0,100.0,78.0,76.56,76.35,96.0,66.0,0.0,29.0,128.5,15.5,109.5,209.0,0.0,0.0,149.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.17,0.0,0.0,0.0,0.0,246.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,7.0,9.4,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.3,7.1,4.5,0.3,0.0,0.0,6.9,4.9,2.0,3.2,3.3,0.0,0.2,1.1,1.1,0.0,0.0,0.0,0.0,1.0,0.0,15.82,30.05,3.74,33.94,27.29,23.6,30.0,16.42,19.5,17.82,15.91,20.44,15.21,10.03,17.91,17.8,49.14,18.88,24.29,54.14,15.27,15.65,36.57,22.15,0.0,3.81,24.27,20.22,41.15,22.35,25.63,21.31,20.96,20.76,46.43,23.08,23.5,3.47,13.42,30.18,31.24,15.0,19.61,39.42,40.0
h_10,287.19,250.0,94.0,100.0,78.0,76.56,76.35,96.0,0.0,0.0,29.0,128.5,15.5,109.5,209.0,0.0,0.0,149.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.17,0.0,0.0,0.0,0.0,246.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,6.2,4.4,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.3,4.9,4.5,0.3,0.0,0.0,5.0,0.0,0.7,1.9,1.5,0.0,0.2,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,12.52,25.05,3.93,24.8,24.2,30.06,30.0,25.09,24.92,19.21,24.85,24.05,18.01,12.52,25.0,24.84,50.1,25.05,25.05,38.08,21.93,23.05,25.05,15.03,0.0,5.01,34.27,25.05,50.1,25.05,25.05,22.54,22.54,22.54,55.11,31.62,31.75,5.11,19.99,25.05,25.05,15.0,22.77,57.9,24.2
