,G3TAVER1,G3TAVER2,G3JIGUE1,G3JIGUE2,G3AGUAC1,G3AGUAC2,G3VALDE1,G3VALDE2,G3RBLAN1,G3RBLAN2,G3MONCI1,G3MONCI2,G3LANGOS,G3CEMON1,G3CEMON2,G3BAIGU1,G3BAIGU2,G3RINCON,G3HATILL,G3JIMENO,G3ESALTO,G3NNAJAY,G3LANONE,G3SYEGUA,G3SABANE,G3LDAMAS,G3LTORO1,G3LTORO2,G3AVARG1,G3AVARG2,G3DRODR1,G3DRODR2,G3RJCRUZ,G3MAGUE1,G3MAGUE2,G3LBARIA,G3PINAL1,G3PINAL2,G3PALOM1,G3PALOM2,G3AANDRE,G3SLORE1,G3LMINA6,G3LMINA5,G3BCARBO,G3ITABO2,G3ITABO1,G3SESTE,G3PIMEN3,G3EM2CGN,G3EM2SGN,G3EM2CFO,G3EM2SFO,G3PIMEN2,G3PIMEN1,G3METALD,G3MRIO,G3PALAMA,G3LVEGA,G3CESPM1,G3CESPM2,G3CESPM3,G3SFELIP,G3SFCC,G3SFV,G3SPVAPO,G3HTG,G3JCOCO1,G3IKM22,G3LCOCO2,G3LOPPFO,G3LOPPGN,G3QCABRE,G3QUI1FO,G3QUISQ2,G3BERSAL,G3BDEREC,G3PELARI,G3MPSOLA,G3SPBIOE,G3PEMCP,G3PEMCT,G3PELMS5,G3PELMS6,G3PALENQ
h_01,0.0,0.0,-5.75,0.0,-6.126,0.0,0.0,0.0,2.326,0.0,-3.6,0.0,7.689,0.0,0.0,0.0,0.0,0.0,4.5,3.204,0.0,0.0,0.0,6.526,3.856,2.589,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.272,3.828,0.0,0.0,0.0,33.434,0.0,0.0,0.0,0.0,67.5,70.2,0.0,9.0,8.057,0.0,0.0,0.0,2.767,2.807,0.0,0.0,16.2,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.0,0.0,0.322,5.276,0.0,0.9,0.0,0.0,-3.119,0.0,202.971,0.0,0.0,0.0
h_02,0.0,0.0,0.648,0.0,-4.711,0.0,0.0,0.0,1.714,0.0,-3.6,0.0,4.067,0.0,0.0,0.0,0.0,0.0,4.5,2.269,0.0,0.0,0.0,5.72,2.996,2.7,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.269,2.766,0.0,0.0,0.0,19.129,0.0,0.0,0.0,0.0,59.504,70.198,0.0,9.0,5.873,0.0,0.0,0.0,0.933,0.972,0.0,0.0,13.901,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.311,0.0,0.0,0.0,3.016,0.0,0.9,0.0,0.0,-3.253,0.0,202.541,0.0,0.0,0.0
h_03,0.0,0.0,0.0,0.0,-6.405,0.0,0.0,0.0,2.582,0.0,-3.6,0.0,1.568,0.0,0.0,0.0,0.0,0.0,4.5,1.181,0.0,0.0,0.0,1.261,1.985,0.594,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.241,0.0,0.0,0.0,0.0,17.286,0.0,0.0,0.0,0.0,43.662,52.125,0.0,9.0,6.17,0.0,0.0,0.0,0.0,0.39,0.0,0.0,8.445,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,-2.257,0.0,195.691,0.0,0.0,0.0
h_04,0.0,0.0,0.0,0.0,-8.339,0.0,0.0,0.0,2.367,0.0,0.0,0.0,-2.605,0.0,0.0,0.0,0.0,0.0,4.5,0.791,0.0,0.0,0.0,-0.611,1.565,0.055,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.231,0.0,0.0,0.0,0.0,20.399,0.0,0.0,0.0,0.0,35.172,42.345,0.0,4.598,8.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.35,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,-1.498,0.0,183.455,0.0,0.0,0.0
h_05,0.0,0.0,0.0,0.0,-9.989,0.0,0.0,0.0,1.567,0.0,0.0,0.0,-2.7,0.0,0.0,0.0,0.0,0.0,4.5,0.312,0.0,0.0,0.0,-1.345,1.324,-0.233,1.764,1.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.227,0.0,0.0,0.0,0.0,19.406,0.0,0.0,0.0,0.0,34.608,41.641,0.0,4.182,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.558,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,-1.605,0.0,179.306,0.0,0.0,0.0
h_06,0.0,0.0,0.0,0.0,-9.93,0.0,0.0,0.0,0.806,0.0,0.0,0.0,-2.7,0.0,0.0,0.0,0.0,0.0,4.5,-0.656,0.0,0.0,0.0,-1.25,1.351,0.881,2.7,-0.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.236,0.0,0.0,0.0,0.0,14.436,0.0,0.0,0.0,0.0,38.081,45.689,0.0,3.988,8.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,-2.965,0.0,196.717,0.0,0.0,0.0
h_07,0.0,0.0,0.0,-14.102,-7.848,0.0,0.0,0.0,1.511,0.0,0.0,0.0,-0.817,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,0.0,-1.208,1.328,0.191,1.867,1.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.231,0.0,2.486,0.0,0.0,14.452,0.0,0.0,0.0,0.0,33.748,40.823,0.0,8.217,9.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,-2.757,0.0,191.129,0.0,0.0,0.0
h_08,0.0,0.0,0.0,-16.611,-8.48,0.0,0.0,0.0,2.143,0.0,0.0,0.0,3.967,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,0.0,-2.037,0.97,0.796,1.175,1.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,0.0,3.639,0.0,0.0,12.756,0.0,0.0,0.0,0.0,31.483,38.378,0.0,9.0,9.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,-2.93,0.0,190.964,0.0,0.0,0.0
h_09,0.0,0.0,0.0,-7.329,-6.7,-6.698,0.0,0.0,4.935,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,0.0,-1.371,0.176,1.485,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.298,0.0,7.2,-1.417,0.0,10.049,0.0,0.0,0.0,0.0,67.5,70.2,0.0,9.0,5.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,-4.822,0.0,194.732,0.0,0.0,0.0
h_10,0.0,0.0,0.0,-4.906,-5.934,-5.93,0.0,0.0,3.21,0.0,-3.6,0.0,10.8,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,0.0,-0.68,0.457,1.917,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.298,0.0,5.537,-1.374,0.0,28.153,0.0,0.0,0.0,0.0,67.5,70.2,0.0,9.0,7.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,-3.877,0.0,195.41,0.0,0.0,0.0
