,WHNVAF,WHNS1F,WAHONF,WHAIBF,WPIMEF,WCANAF,WFALCK,WPVDCD,WZSANF,WPPL2F,WCOCOF,WSPMAF,WLRMAF
h_01,19.633,38.861,20.458,38.674,5.687,18.523,20.319,60.948,15.841,39.122,18.895,20.805,16.218
h_02,19.734,38.836,20.518,38.744,5.676,18.558,20.355,60.777,15.879,39.137,18.877,20.783,16.217
h_03,19.782,38.82,20.56,38.761,5.694,18.593,20.258,61.509,15.915,39.116,18.828,20.734,16.195
h_04,19.762,38.822,20.468,38.642,5.713,18.604,20.229,63.029,15.935,39.101,18.856,20.714,16.183
h_05,19.76,38.854,20.469,38.579,5.699,18.663,20.223,62.412,15.94,39.115,18.951,20.71,16.227
h_06,19.882,38.826,20.546,38.835,5.708,18.685,20.265,61.938,15.943,39.102,18.981,20.76,16.253999999999998
h_07,19.904,38.764,20.554,38.954,5.731,18.457,20.324,65.477,15.995,39.179,18.92,20.727,16.247
h_08,19.936,38.782,20.605,39.042,5.708,18.399,20.352,67.309,15.963,39.163,18.978,20.733,16.267
h_09,20.191,39.014,20.806,39.662,5.741,18.35,20.451,65.15299999999999,15.876,38.882,18.522,20.802,16.32
h_10,20.14,39.061,20.82,39.634,5.709,18.447,20.373,63.147,15.827,38.935,18.626,20.819,16.286
h_11,19.917,38.893,20.761,39.431,5.673,18.442,20.33,61.706,15.79,38.86,18.641,20.706,16.204
h_12,19.872,38.78,20.73,39.227,5.7,18.488,20.226,61.112,15.774,38.951,18.809,20.732,16.209
h_13,19.783,38.673,20.693,39.142,5.704,18.455,20.268,61.123,15.87,39.039,18.871,20.708,16.208
h_14,19.776,38.726,20.679,39.122,5.684,18.461,20.289,61.25,15.885,39.029,18.853,20.724,16.209
h_15,19.828,38.771,20.627,38.936,5.666,18.48,20.315,61.88,15.878,38.924,18.841,20.72,16.258
h_16,19.855,38.797,20.673,38.991,5.686,18.467,20.321,62.118,15.883,38.909,18.841,20.702,16.228
h_17,19.928,38.847,20.713,39.145,5.699,18.492,20.289,62.499,15.922,39.019,18.929,20.735,16.246000000000002
h_18,19.884,38.75,20.662,39.058,5.73,18.601,20.26,62.31,15.917,39.026,18.982,20.737,16.235
h_19,19.834,38.895,20.662,39.142,5.679,18.637,20.375,61.54,15.924,39.119,18.877,20.755,16.215
h_20,19.775,38.969,20.683,39.386,5.71,18.54,20.402,60.712,15.904,39.11,18.879,20.732,16.142
h_21,19.842,38.854,20.59,39.309,5.669,18.558,20.395,60.788,15.899,39.102,18.842,20.742,16.147
h_22,19.822,38.873,20.539,39.092,5.682,18.555,20.369,60.666,15.9,39.115,18.897,20.728,16.145
h_23,19.758,38.9,20.419,38.99,5.666,18.564,20.358,60.668,15.898,39.179,18.943,20.743,16.173000000000002
h_24,19.706,38.895,20.488,39.114,5.673,18.564,20.413,61.182,15.913,39.152,18.856,20.872,16.284
