bus_id_modom,factor_retiro,factor_inyeccion
WAANDE,0.955821,0.955821
WCLUIE,0.982433,
WSPBEE,0.974691,0.974691
WSPM2E,0.974029,0.9740289999999999
WHGMOE,0.974029,
WCEMEE,0.974318,
WJDOLE,0.9784130000000001,
WXDBRF,0.983038,
WXHHIF,0.983317,
WSPMAF,0.982872,
WXCIGF,0.983038,
WTIM2F,0.996126,
WMOZAF,0.996898,
WZFGIF,1.003771,
WDESPF,0.9962839999999998,
WBCHIE,0.972453,
WHNS1E,0.99355,
WGUAVF,0.997189,
WCAYAF,0.998097,
WPARAE,0.998703,
WLMI7E,0.995236,0.995236
WLMINE,0.995377,
WIISAF,0.998572,
WTIM2E,0.997363,
WTAMAF,0.976813,
WAIZSF,0.99334,
WCNPEE,0.999536,
WZFSPF,0.994044,
WZFS2F,0.994044,
WUASDE,1.001875,
WCAPOF,1.004408,
WMATAE,1.00383,
WNOVOF,1.008703,
WBPOPF,1.017084,
WLDIAF,1.017084,
WLMINF,1.000346,
WTEMPF,1.00116,
WZHAIF,1.009436,
WMEGAF,1.00086,
WVMELE,1.001973,
WVDUAF,0.999,
WHERRE,1.007778,
WHMAYF,0.999131,
WAIISF,1.014122,
WBASIF,1.003314,
WLROME,1.002537,
WOFALF,1.006118,
WESEIE,1.006246,
WPCIBF,0.989183,
WPDIVF,1.018632,
WGPETF,1.007328,
WSMARF,0.998269,
WZFMCF,0.989933,
WGALAF,1.005002,
WDAJAF,1.006177,
WGUERF,1.00522,
WXGRMF,1.004515,
WKVEIF,1.004911,
WGRCHF,1.008444,
WHGUEE,1.016716,
WCNSLF,1.004858,
WSPERF,1.012236,
WLRPUF,1.020692,
WBLECF,1.035874,
WGUAYF,1.065308,
WRPELF,1.069692,
WBVISF,1.015469,
WSPRIF,1.024293,
WRCHAF,1.016488,
WLCALF,1.005381,
WBENEF,1.016788,
WCCARF,1.007635,
WZFAMF,1.008071,
WHNUEF,1.039362,
WZFALF,1.043681,
WHIGUF,1.024372,
WENADE,0.955821,
WPVIEE,1.010404,
WZFDRF,1.020545,
WTMNTK,1.017348,
WMONTE,1.017348,
WZFVAF,1.053274,
WRZMOK,1.016898,
WCNACF,1.0533,
WBOPEF,1.036374,
