,WAANDE,WBCHIE,WESEIE,WHIGUE,WLROME,WSPM2E,WAGUAE,WBCARE,WJIGUE,WKQAZE,WPIZAE,WVALDE,WBO21E,WCANAE,WPP21E,WPPLAE,WSFELE,WZSA1E,WNAR1E,WNAR1D,WHAINE,WLMINE,WLPRAE,WPAL1E,WTIM2E,WHNS1E,WJSA1E,WJSA1D
h_01,1.017238,0.993807,0.963069,0.951023,0.97582,0.0,1.002489,0.0,1.007603,0.0,0.986747,0.9952,0.990989,0.0,0.991386,0.0,0.0,0.0,1.022951,0.0,0.986423,0.0,0.981398,0.982085,0.0,0.998597,0.988856,0.992
h_02,1.004344,0.98965,0.963192,0.952208,0.976062,0.0,0.99457,0.0,0.997638,0.0,0.9859,0.99,0.985872,0.0,1.003972,0.0,0.0,0.0,1.015033,0.0,0.985556,0.0,0.980774,0.981598,0.0,0.993143,0.992295,0.9794
h_03,1.009486,0.994135,0.965049,0.954496,0.978122,0.0,1.002612,0.0,1.005508,0.0,0.994158,0.998299,0.991697,0.0,0.980701,0.0,0.0,0.0,1.015738,0.0,0.991724,0.0,0.987507,0.989615,0.0,1.000678,0.999391,0.9987
h_04,1.012502,0.997041,0.970018,0.960194,0.982718,0.0,1.002688,0.0,1.004499,0.0,0.997072,1.0,0.999198,0.0,1.01245,0.0,0.0,0.0,1.044869,0.0,0.999588,0.0,0.994017,0.998199,0.0,1.004167,1.01052,0.9796
h_05,1.017269,0.99329,0.963249,0.953656,0.975933,0.0,1.000552,0.0,1.003,0.0,0.993346,0.9969,1.001533,0.0,1.014078,0.0,0.0,0.0,1.042997,0.0,0.994118,0.0,0.990108,0.991123,0.0,1.004519,0.998414,1.006001
h_06,1.01163,0.988547,0.966654,0.958168,0.979803,0.0,0.989989,0.0,0.988868,0.0,0.984304,0.98646,0.990273,0.0,1.012318,0.0,0.0,0.0,1.041103,0.0,0.985773,0.0,0.981957,0.980868,0.0,0.99531,0.985474,0.984301
h_07,1.007415,0.989362,0.986406,0.986939,0.996676,0.0,1.001184,0.0,1.000076,0.0,0.998214,0.997684,0.989335,0.0,1.003458,0.0,0.0,0.0,1.025159,0.0,0.988119,0.0,0.983032,0.986905,0.0,0.996018,0.996084,0.995499
h_08,1.023696,0.992554,0.9881,0.987392,0.999054,0.0,1.002438,0.0,1.001742,0.0,1.000678,1.0,0.991459,0.0,1.011772,0.0,0.0,0.0,1.032249,0.0,0.994882,0.0,0.989302,0.99308,0.0,1.002733,1.004622,0.9825
h_09,1.021789,0.990011,0.987135,0.986347,0.999167,0.0,0.994673,0.0,0.994823,0.0,0.999011,0.994436,0.984387,0.0,1.009429,0.0,0.0,0.0,1.022298,0.0,0.988827,0.0,0.982067,0.985585,0.0,1.001213,0.994251,0.9892
h_10,1.021751,0.980405,0.984627,0.985379,0.99663,0.0,0.99585,0.0,0.996,0.0,0.999639,0.995613,1.003757,0.0,1.021609,0.0,0.0,0.0,1.024481,0.0,0.984221,0.0,0.975617,0.987173,0.0,0.988979,1.004077,0.9712
h_11,1.011401,0.985113,0.984995,0.985198,0.996029,0.0,0.995808,0.0,0.995957,0.0,0.999735,0.99557,0.998891,0.0,1.026672,0.0,0.0,0.0,1.028962,0.0,0.983244,0.0,0.975197,0.986637,0.0,0.99704,0.998176,0.98
h_12,1.006737,0.978175,0.981641,0.984567,0.995493,0.0,0.993828,0.0,0.993977,0.0,0.998679,0.993591,0.999296,0.0,1.036819,0.0,0.0,0.0,1.038017,0.0,0.979393,0.0,0.971148,0.983089,0.0,0.989577,0.995826,0.98
h_13,1.00629,0.98508,0.984997,0.985398,0.99616,0.0,0.994135,0.0,0.994284,0.0,0.99781,0.993897,0.999321,0.0,1.007713,0.0,0.0,0.0,1.031272,0.0,0.988004,0.0,0.9799,0.985918,0.0,0.994897,0.996828,0.9858
h_14,1.011091,0.982339,0.98378,0.984474,0.995553,0.0,0.994832,0.0,0.994981,0.0,0.998108,0.994595,0.999108,0.0,1.028997,0.0,0.0,0.0,1.027686,0.0,0.98355,0.0,0.97568,0.987052,0.0,0.992561,1.000931,0.974999
h_15,1.002499,0.97741,0.979941,0.982906,0.996647,0.0,0.995755,0.0,0.995904,0.0,0.998417,0.995517,0.987173,0.0,1.021908,0.0,0.0,0.0,1.025492,0.0,0.989558,0.0,0.980398,0.988284,0.0,0.99123,1.005816,0.970899
h_16,1.019231,0.98884,0.986045,0.984817,1.001037,0.0,0.993994,0.0,0.994143,0.0,0.998118,0.993757,0.981878,0.0,0.997278,0.0,0.0,0.0,1.000888,0.0,0.989418,0.0,0.981105,0.985505,0.0,1.000779,0.996834,0.984099
h_17,1.01603,0.990887,0.986995,0.985028,1.001535,0.0,1.002704,0.0,1.004892,0.0,0.998256,0.999201,0.983524,0.0,0.996193,0.0,0.0,0.0,1.00167,0.0,0.989054,0.0,0.980916,0.986927,0.0,1.000394,0.995611,0.98
h_18,1.017126,0.989152,0.983137,0.984319,0.998123,0.0,1.003614,0.0,1.005861,0.0,0.997884,1.0,0.983098,0.0,0.998709,0.0,0.0,0.0,1.004764,0.0,0.98359,0.0,0.976878,0.98515,0.0,1.001978,0.993623,0.98
h_19,1.020733,0.992683,0.982999,0.984175,0.998001,0.0,1.01036,0.0,1.013898,0.0,0.998314,1.0048,0.992477,0.0,1.016379,0.0,0.0,0.0,1.019764,0.0,0.988521,0.0,0.982328,0.986753,0.0,1.004809,0.9907,0.99
h_20,1.015535,0.986575,0.95959,0.948143,0.971964,0.0,1.006117,0.0,1.010036,0.0,0.993505,1.0,0.988854,0.0,1.0211,0.0,0.0,0.0,1.029339,0.0,0.978471,0.0,0.972361,0.980427,0.0,0.992729,0.987583,0.9835
h_21,1.017937,0.993306,0.962717,0.950473,0.975081,0.0,0.994251,0.0,0.996921,0.0,0.983276,0.99,0.990318,0.0,1.002769,0.0,0.0,0.0,1.017645,0.0,0.98707,0.0,0.981012,0.982764,0.0,1.000677,0.988058,0.989
h_22,1.01428,0.993793,0.962736,0.950521,0.974743,0.0,0.993773,0.0,0.996125,0.0,0.982351,0.99,0.989642,0.0,0.99902,0.0,0.0,0.0,1.014594,0.0,0.988132,0.0,0.982584,0.987545,0.0,1.000775,0.997399,0.975
