snapshot_id,p_set_mw
h_01,3746.1403308856716
h_02,3607.191219148076
h_03,3498.4272302375844
h_04,3394.2426217384073
h_05,3322.994881997415
h_06,3277.3440481655707
h_07,3148.9477754269074
h_08,3172.0328657122836
h_09,3307.7128684562826
h_10,3339.3884976147865
h_11,3367.1064390165557
h_12,3251.491028640916
h_13,3271.3164763787363
h_14,3430.7368893460257
h_15,3591.5136974865263
h_16,3651.464147009438
h_17,3659.077176847872
h_18,3643.8215582070666
h_19,3593.5245629736064
h_20,3803.8915263295858
h_21,3904.8672046007605
h_22,3905.112262711352
h_23,3880.6419831672533
h_24,3792.84601000696
