,G3JCOCO1,G3LCOCO2,G3QCABRE,G3PELARI,G3PELAR2,G3MPSOLA,G3SPBIOE,G3PFMSO1,G3PEGUAN,G3PEMATA,G3PEACLA,G3PFMPAL,G3PSCANO,G3PELGUZ,G3PFBAYA,G3PSGIRA,G3SANTAS,G3ESOCO,G3PELGU2,G3PSESPE,G3PFCALA,G3PFMATR,G3PFCUM1,G3PFCUM2,G3PFLNEG,G3PFMAR1,G3PFSAJO,G3PFVICT,G3PFMIRA,G3PFWCA2,G3PFWCA3,G3PFCOT1,G3PFCOT2,G3PFCOT3,G3PFCOAS,G3PFPER1,G3PFPER2,G3PFLUCI,G3PFMART,G3PFCUM4,G3PFPAY1,G3PEESPE,G3PFESP2,G3PFVILL,G3PAK01,G3PCATA2,G3PCATA1,G3ITABO2,G3ITABO1,G3CES2GN,G3CES3GN,G3CES1GN,G3QUI2GN,G3EM3CCT,G3EM3CCP,G3BCARBO,G3QUI1GN,G3Q1SPGN,G3E4CCGN,G3AANDGN,G3EM3CS,G3EM2CGN,G3EM2SGN,G3METALD,G3QUI1FO,G3Q1SPFO,G3QUI2FO,G3EM2CFO,G3SESTE,G3EM2SFO,G3LOPPGN,G3PIMEN3,G3PIMEN4,G3PEMCT,G3LVEGA,G3PIMEN1,G3PEMCP,G3PAK60,G3PIMEN2,G3PALAMA,G3PAK26,G3LOPPFO,G3BERSAL,G3IKM22,G3PALENQ,G3SIBACC,G3MRIO,G3E4CCFO,G3MPLACS,G3LMINA5,G3LMINA6,G3CES3FO,G3HTG,G3SIBACS,G3AANDFO,G3CES1FO,G3SLORE1,G3CES2FO,G3TAVER1,G3TAVER2,G3JIGUE1,G3JIGUE2,G3AGUAC1,G3AGUAC2,G3VALDE1,G3VALDE2,G3RBLAN1,G3RBLAN2,G3MONCI1,G3MONCI2,G3LANGOS,G3RINCON,G3HATILL,G3HATIL2,G3SYEGUA,G3SABANE,G3LDAMAS,G3LTORO1,G3LTORO2,G3PINAL1,G3PINAL2,G3PALOM1,G3PALOM2,G3CEMON1,G3CEMON2,G3BAIGU1,G3BAIGU2,G3JIMENO,G3ESALTO,G3NNAJAY,G3LANONE,G3AVARG1,G3AVARG2,G3DRODR1,G3DRODR2,G3RJCRUZ,G3MAGUE1,G3MAGUE2,G3LBARIA,G3BDEREC
h_01,2.34,2.9,0.81,10.31,5.95,0.0,30.0,0.0,7.58,2.64,3.97,0.0,0.0,15.11,0.0,0.0,0.0,0.0,11.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49,0.0,0.0,70.0,360.0,300.0,120.0,120.0,87.3,87.3,87.3,131.65,147.0,0.0,38.0,145.5,65.95,122.8,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.92,49.5,0.0,0.0,44.92,17.56,260.55,55.39,24.68,0.0,75.34,21.04,64.22,104.76,40.75,7.64,0.0,17.28,0.0,90.79,0.0,273.36,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,44.9,0.0,44.7,0.0,0.0,26.0,0.0,0.0,11.5,0.0,23.5,0.0,8.34,0.0,7.76,0.0,6.9,4.95,2.0,3.4,2.3,24.4,0.0,0.0,0.0,1.0,1.0,0.3,0.0,4.0,0.3,0.0,0.0,0.0,0.2,1.1,1.1,0.0,0.0,0.0,0.0,1.0
h_02,2.38,3.31,0.84,11.01,6.35,0.0,30.0,0.0,7.3,2.61,4.61,0.0,0.0,11.59,0.0,0.0,0.0,0.0,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77,0.0,0.0,15.0,360.0,300.0,120.0,120.0,87.3,87.3,87.3,131.65,147.0,0.0,38.0,145.5,65.95,122.8,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.92,49.5,0.0,0.0,49.06,17.56,260.55,55.39,24.68,0.0,75.34,21.04,64.22,104.76,40.75,7.64,0.0,17.28,0.0,90.79,0.0,189.78,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,44.9,0.0,44.7,0.0,0.0,26.0,0.0,0.0,11.5,0.0,23.5,0.0,8.34,0.0,7.76,0.0,6.9,4.95,2.0,3.4,2.3,24.4,0.0,0.0,0.0,1.0,1.0,0.3,0.0,4.0,0.3,0.0,0.0,0.0,0.2,1.1,1.1,0.0,0.0,0.0,0.0,1.0
h_03,2.15,3.35,0.81,10.43,6.26,0.0,30.0,0.0,7.62,3.32,5.54,0.0,0.0,8.8,0.0,0.0,0.0,0.0,7.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.69,0.0,0.0,15.0,360.0,300.0,120.0,120.0,87.3,87.3,87.3,131.65,147.0,0.0,38.0,145.5,65.95,122.8,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.92,49.5,0.0,0.0,49.66,17.56,261.73,55.39,24.68,0.0,75.34,21.04,64.22,104.76,40.75,7.64,0.0,10.44,0.0,46.64,0.0,178.46,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,44.7,0.0,0.0,26.0,0.0,0.0,11.5,0.0,23.5,0.0,8.34,0.0,7.76,0.0,6.9,4.95,2.0,3.4,2.3,24.4,0.0,0.0,0.0,1.0,1.0,0.3,0.0,4.0,0.3,0.0,0.0,0.0,0.2,1.1,1.1,0.0,0.0,0.0,0.0,1.0
h_04,2.0,3.1,0.8,10.53,6.64,0.0,30.0,0.0,7.9,4.64,6.47,0.0,0.0,7.18,0.0,0.0,0.0,0.0,6.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71,0.0,0.0,15.0,360.0,300.0,120.0,120.0,87.3,87.3,87.3,131.65,147.0,0.0,38.0,145.5,65.95,122.8,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.92,49.5,0.0,0.0,49.47,17.56,260.55,55.39,23.08,0.0,75.34,21.04,64.22,100.51,32.14,0.0,0.0,0.0,0.0,0.0,0.0,178.46,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,44.7,0.0,0.0,26.0,0.0,0.0,11.5,0.0,0.0,0.0,8.34,0.0,7.76,0.0,6.9,4.95,2.0,3.4,2.3,24.4,0.0,0.0,0.0,1.0,1.0,0.3,0.0,4.0,0.3,0.0,0.0,0.0,0.2,1.1,1.1,0.0,0.0,0.0,0.0,1.0
h_05,2.52,3.94,0.94,12.77,8.0,0.0,30.0,0.0,8.0,5.43,6.48,0.0,0.0,6.27,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,15.0,360.0,300.0,120.0,120.0,87.3,87.3,87.3,131.65,147.0,0.0,38.0,145.5,65.95,122.8,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.92,49.5,0.0,0.0,49.66,17.56,268.47,55.39,21.38,0.0,75.34,21.04,64.22,104.76,40.75,7.64,0.0,17.28,0.0,58.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,44.7,0.0,0.0,26.0,0.0,0.0,11.5,0.0,0.0,0.0,8.34,0.0,7.76,0.0,6.9,4.95,2.0,3.4,2.3,24.4,0.0,0.0,0.0,1.0,1.0,0.3,0.0,4.0,0.3,0.0,0.0,0.0,0.2,1.1,1.1,0.0,0.0,0.0,0.0,1.0
h_06,3.48,5.81,1.22,15.9,9.67,0.0,30.0,0.0,8.58,4.08,6.46,0.0,0.0,5.65,0.0,0.0,0.0,0.0,5.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,15.0,360.0,300.0,120.0,120.0,87.3,87.3,87.3,131.65,147.0,0.0,38.0,145.5,65.95,122.8,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.92,49.5,0.0,0.0,49.66,17.56,268.37,55.39,21.48,0.0,75.34,21.04,64.22,104.76,40.75,7.64,0.0,17.28,0.0,65.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,11.5,0.0,0.0,0.0,8.34,9.4,7.76,0.0,6.9,4.95,2.0,3.4,2.3,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.0,4.0,0.3,0.0,0.0,0.0,0.2,1.1,1.1,0.0,0.0,0.0,0.0,1.0
h_07,3.92,6.6,1.33,16.83,10.54,1.56,30.0,0.96,10.12,2.69,7.4,1.26,0.3,5.87,1.18,2.89,1.24,1.94,5.19,2.59,0.96,1.07,2.71,1.66,0.0,0.43,1.48,1.46,2.92,1.5,1.66,1.58,1.57,1.57,3.32,1.77,1.85,0.16,1.23,5.13,4.8,7.27,0.58,2.06,15.0,360.0,300.0,120.0,120.0,87.3,87.3,87.3,131.65,147.0,0.0,38.0,145.5,65.95,122.8,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.92,49.5,0.0,0.0,40.54,17.56,260.55,55.39,24.68,0.0,75.34,21.04,64.22,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,11.5,0.0,0.0,0.0,8.34,9.4,7.76,0.0,6.9,4.95,2.0,3.4,2.3,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.0,4.0,0.3,0.0,0.0,0.0,0.2,1.1,1.1,0.0,0.0,0.0,0.0,1.0
h_08,4.65,7.55,1.44,17.49,11.99,10.17,30.0,6.5,11.63,1.83,8.39,7.82,3.52,6.17,7.8,24.18,7.67,10.75,5.29,20.27,6.17,6.96,17.38,10.43,3.39,2.05,9.02,8.64,17.99,9.2,10.37,8.86,8.87,8.73,19.78,10.8,11.18,1.11,6.85,18.44,20.61,7.45,3.65,12.71,15.0,360.0,300.0,120.0,120.0,87.3,87.3,87.3,131.65,147.0,0.0,38.0,145.5,65.95,122.8,278.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.82,43.5,0.0,0.0,39.13,17.56,255.29,55.39,17.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,11.5,0.0,0.0,0.0,8.34,9.4,7.76,0.0,6.9,4.95,2.0,3.4,2.3,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.0,4.0,0.3,0.0,0.0,0.0,0.2,1.1,1.1,0.0,0.0,0.0,0.0,1.0
h_09,6.19,9.6,1.73,19.05,13.74,23.47,30.0,15.44,11.76,2.29,9.41,18.32,9.31,5.59,17.41,55.31,18.26,22.15,4.87,53.52,15.39,16.56,32.65,19.75,7.6,4.05,21.74,21.63,43.87,22.54,26.25,19.41,19.13,18.93,44.13,22.47,23.76,3.21,15.2,27.02,32.5,7.75,9.02,28.79,15.0,360.0,300.0,120.0,120.0,86.86,83.07,79.65,116.5,147.0,0.0,38.0,145.5,53.2,111.1,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.25,0.0,0.0,0.0,39.13,0.0,238.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,8.3,9.4,7.1,0.0,6.9,4.9,2.0,3.1,2.3,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.0,4.0,0.3,0.0,0.0,0.0,0.2,1.1,1.1,0.0,0.0,0.0,0.0,1.0
h_10,7.06,11.18,1.95,20.36,14.75,33.94,30.0,23.43,9.82,5.05,9.08,28.22,13.39,5.15,26.49,56.56,26.44,28.28,4.77,42.98,23.34,25.71,28.28,16.97,9.61,5.58,38.69,28.28,56.56,28.28,28.28,25.45,25.45,25.45,62.21,33.53,33.31,5.06,22.77,28.28,28.28,7.49,14.21,40.06,12.0,359.99,300.0,100.0,94.0,78.0,76.56,76.35,116.5,96.0,0.0,29.0,145.5,54.15,109.5,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,39.13,13.46,229.72,14.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,6.3,4.4,4.9,0.0,5.0,4.2,0.7,1.9,1.5,0.0,0.0,0.0,0.0,0.8,0.8,0.3,0.0,4.0,0.3,0.0,0.0,0.0,0.2,0.3,0.3,0.0,0.0,0.0,0.0,1.0
