bus_id_modom,factor_retiro
WAANDE,0.957873
WCLUIE,0.986144
WSPBEE,0.983195
WSPM2E,0.982785
WHGMOE,0.982785
WCEMEE,0.983035
WJDOLE,0.986177
WXDBRF,0.991261
WXHHIF,0.99141
WSPMAF,0.991157
WXCIGF,0.991261
WTIM2F,0.99783
WMOZAF,0.99873
WZFGIF,1.016644
WDESPF,0.997997
WBCHIE,0.999125
WHNS1E,0.997498
WGUAVF,1.000396
WCAYAF,1.00102
WPARAE,0.999667
WLMI7E,0.997571
WLMINE,0.997726
WIISAF,1.001115
WTIM2E,0.999067
WTAMAF,0.999029
WAIZSF,1.002296
WCNPEE,1.000822
WZFSPF,1.002931
WZFS2F,1.002931
WUASDE,1.002845
WCAPOF,1.006202
WMATAE,1.004634
WNOVOF,1.008535
WBPOPF,1.018262
WLDIAF,1.018262
WLMINF,1.00178
WTEMPF,1.00178
WZHAIF,1.015449
WMEGAF,1.00195
WVMELE,1.005805
WVDUAF,1.001227
WHERRE,1.008385
WHMAYF,1.014475
WAIISF,1.011525
WBASIF,1.015498
WLROME,1.011211
WOFALF,1.006046
WESEIE,1.020232
WPCIBF,1.017217
WPDIVF,1.015883
WGPETF,1.008839
WSMARF,1.022343
WZFMCF,1.018209
WGALAF,1.009211
WDAJAF,1.009525
WGUERF,1.017503
WXGRMF,1.017306
WKVEIF,1.017688
WGRCHF,1.014059
WHGUEE,1.028074
WCNSLF,1.029745
WSPERF,1.015819
WLRPUF,1.023161
WBLECF,1.019673
WGUAYF,1.021885
WRPELF,1.021885
WBVISF,1.026354
WSPRIF,1.022308
WRCHAF,1.027951
WLCALF,1.035404
WBENEF,1.028397
WCCARF,1.037767
WZFAMF,1.038225
WHNUEF,1.03334
WZFALF,1.038862
WHIGUF,1.046725
WENADE,0.957873
WPVIEE,1.010108
WZFDRF,1.018513
WTMNTK,1.037841
WMONTE,1.037841
WZFVAF,1.051498
WRZMOK,1.030349
WCNACF,1.05155
WBOPEF,1.035622
WLCBOF,1.045521
WBONAF,1.037372
WDAJAE,1.043701
WVMAOE,1.031916
WZFSAE,1.025657
WTAVBE,1.027582
WLGALE,1.02915
WCANAE,1.028578
WBALDF,1.030757
WXEANF,1.030757
WAPFAF,1.032948
WNIBAE,1.031761
WTROQF,1.035159
WFOCHF,1.035506
WTZFPF,1.03968
WHMSAF,1.032279
WPP22E,1.034659
WSFELE,1.034659
WCINDF,1.03749
WACIBF,1.036375
WAQUIF,1.043913
WQUINF,1.045018
WVOLGF,1.03644
WUMEDF,1.03644
WPIMCF,1.041239
WCCIBF,1.042992
WZFLIF,1.045089
WELJIF,1.045089
WMVCIF,1.045089
WPPRIF,1.045089
WFOLAF,1.054121
