branch_id,branch_type,from_bus,to_bus,pypsa_v1_component,exclusion_reason,closure_semantics_hint,operational_status,closure_flag,tap_ratio_hint,v_nom_bus0_kv,v_nom_bus1_kv,voltage_pair_status,source_row_number
WAANDE__WTAAVK__L1,line,WAANDE,WTAAVK,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,138.0,,missing_bus_v_nom,274
WAHO1E__WAHONF__T2,transformer,WAHO1E,WAHONF,transformer,out_of_service_base_case,binary_switch_state,out_of_service,1,,138.0,69.0,different_voltage_ok,67
WAIZSF__WXZSPF__L1,line,WAIZSF,WXZSPF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,738
WBANIF__WXPIDF__L1,line,WBANIF,WXPIDF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,565
WBARCE__WCC21E__L1,line,WBARCE,WCC21E,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,138.0,138.0,same_voltage_ok,602
WBARCE__WCC21E__L2,line,WBARCE,WCC21E,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,138.0,138.0,same_voltage_ok,603
WBAYOF__WMLTPF__L1,line,WBAYOF,WMLTPF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,155
WBAYOF__WXCBAF__L1,line,WBAYOF,WXCBAF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,142
WBON2F__WFALCF__L1,line,WBON2F,WFALCF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,331
WBON3E__WFALCE__L1,line,WBON3E,WFALCE,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,138.0,138.0,same_voltage_ok,335
WCANAE__WCANAF__T1,transformer,WCANAE,WCANAF,transformer,out_of_service_base_case,binary_switch_state,out_of_service,1,,138.0,69.0,different_voltage_ok,416
WCANAE__WCANAF__T3,transformer,WCANAE,WCANAF,transformer,out_of_service_base_case,binary_switch_state,out_of_service,1,,138.0,69.0,different_voltage_ok,419
WCANAE__WZFSAE__L1,line,WCANAE,WZFSAE,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,138.0,138.0,same_voltage_ok,426
WCANAF__WXHMSF__L1,line,WCANAF,WXHMSF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,370
WCANAF__WZFSAF__L1,line,WCANAF,WZFSAF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,428
WCATAF__WXKVEF__L1,line,WCATAF,WXKVEF,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,69.0,69.0,same_voltage_ok,146
WCC21E__WKQAZE__L1,line,WCC21E,WKQAZE,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,138.0,138.0,same_voltage_ok,600
WCC21E__WKQAZE__L2,line,WCC21E,WKQAZE,line,out_of_service_base_case,binary_switch_state,out_of_service,1,,138.0,138.0,same_voltage_ok,599
