name,bus0,bus1,v_nom_bus0_kv,v_nom_bus1_kv,voltage_pair_status,r_pu_hint,x_pu_hint,s_nom_mva_hint,source_branch_id,source_branch_type,source_row_number,notes
WAANDE__WENADE__L1,WAANDE,WENADE,138.0,138.0,same_voltage_ok,0.00036,0.00042,111.0,WAANDE__WENADE__L1,line,271,standard_branch
WABCOF__WXCOCF__L1,WABCOF,WXCOCF,69.0,69.0,same_voltage_ok,0.03615,0.13119,68.0,WABCOF__WXCOCF__L1,line,570,standard_branch
WACIBF__WPIMCF__L1,WACIBF,WPIMCF,69.0,69.0,same_voltage_ok,0.02336,0.03534,45.0,WACIBF__WPIMCF__L1,line,489,standard_branch
WACLAE__WNAV2E__L1,WACLAE,WNAV2E,138.0,138.0,same_voltage_ok,0.02914303,0.11888404999999999,158.28462,WACLAE__WNAV2E__L1,line,846,standard_branch
WAGUAE__WAGUBE__L1,WAGUAE,WAGUBE,138.0,138.0,same_voltage_ok,0.0,0.0001,158.0,WAGUAE__WAGUBE__L1,line,691,standard_branch
WAGUAE__WJIGBE__L1,WAGUAE,WJIGBE,138.0,138.0,same_voltage_ok,0.0082,0.0347,158.0,WAGUAE__WJIGBE__L1,line,692,standard_branch
WAHO1E__WAHO2E__L1,WAHO1E,WAHO2E,138.0,138.0,same_voltage_ok,0.0,0.0006,317.0,WAHO1E__WAHO2E__L1,line,68,standard_branch
WAHOBF__WXMALF__L1,WAHOBF,WXMALF,69.0,69.0,same_voltage_ok,0.008156,0.030239,79.0,WAHOBF__WXMALF__L1,line,118,standard_branch
WAHONF__WAHOBF__L1,WAHONF,WAHOBF,69.0,69.0,same_voltage_ok,0.0,5.3e-05,150.0,WAHONF__WAHOBF__L1,line,117,standard_branch
WAIAMF__WLCALF__L1,WAIAMF,WLCALF,69.0,69.0,same_voltage_ok,0.005094029999999999,0.01851618,79.0,WAIAMF__WLCALF__L1,line,174,standard_branch
WAIAZF__WKQA1F__L1,WAIAZF,WKQA1F,69.0,69.0,same_voltage_ok,0.03255,0.11736,55.0,WAIAZF__WKQA1F__L1,line,573,standard_branch
WAIZSF__WZFSPF__L1,WAIZSF,WZFSPF,69.0,69.0,same_voltage_ok,0.00103,0.00381,79.0,WAIZSF__WZFSPF__L1,line,740,standard_branch
WAPERF__WEABAF__L1,WAPERF,WEABAF,69.0,69.0,same_voltage_ok,0.0025,0.0091,79.0,WAPERF__WEABAF__L1,line,315,standard_branch
WAPFAF__WXOC2F__L1,WAPFAF,WXOC2F,69.0,69.0,same_voltage_ok,0.00187,0.00289,45.0,WAPFAF__WXOC2F__L1,line,391,standard_branch
WAQUIF__WXAQUF__L1,WAQUIF,WXAQUF,69.0,69.0,same_voltage_ok,0.01335,0.02408,43.0,WAQUIF__WXAQUF__L1,line,451,standard_branch
WAZUAF__WABCOF__L1,WAZUAF,WABCOF,69.0,69.0,same_voltage_ok,0.05944,0.21432,68.0,WAZUAF__WABCOF__L1,line,569,standard_branch
WAZUAF__WPLINF__L1,WAZUAF,WPLINF,69.0,69.0,same_voltage_ok,0.00886,0.03195,68.0,WAZUAF__WPLINF__L1,line,571,standard_branch
WBANIF__WPIZAF__L1,WBANIF,WPIZAF,69.0,69.0,same_voltage_ok,0.03266,0.107561,68.0,WBANIF__WPIZAF__L1,line,566,standard_branch
WBANIF__WXLFAF__L1,WBANIF,WXLFAF,69.0,69.0,same_voltage_ok,0.00094,0.00308,68.0,WBANIF__WXLFAF__L1,line,561,standard_branch
WBAPEF__WCOCOF__L1,WBAPEF,WCOCOF,69.0,69.0,same_voltage_ok,0.04561,0.1644,55.0,WBAPEF__WCOCOF__L1,line,567,standard_branch
WBARAF__WBCARF__L1,WBARAF,WBCARF,69.0,69.0,same_voltage_ok,0.00188687,0.00684628,79.14231,WBARAF__WBCARF__L1,line,588,standard_branch
WBAYAE__WKQAZE__L1,WBAYAE,WKQAZE,138.0,138.0,same_voltage_ok,0.034685,0.128305,136.0,WBAYAE__WKQAZE__L1,line,651,standard_branch
WBAYOF__WXBA1F__L1,WBAYOF,WXBA1F,69.0,69.0,same_voltage_ok,2.4e-05,9e-05,79.0,WBAYOF__WXBA1F__L1,line,153,standard_branch
WBAYOF__WXHNUF__L1,WBAYOF,WXHNUF,69.0,69.0,same_voltage_ok,0.003868,0.014156,79.0,WBAYOF__WXHNUF__L1,line,154,standard_branch
WBCHIE__WSIBBE__L1,WBCHIE,WSIBBE,138.0,138.0,same_voltage_ok,7.072e-05,0.00044786,475.4167697631206,WBCHIE__WSIBBE__L1,line,260,standard_branch
WBCHIE__WSPM2E__L1,WBCHIE,WSPM2E,138.0,138.0,same_voltage_ok,0.00988847,0.05612561,317.0,WBCHIE__WSPM2E__L1,line,259,standard_branch
WBCHIF__WXPCIF__L1,WBCHIF,WXPCIF,69.0,69.0,same_voltage_ok,0.00808659,0.0293412,79.0,WBCHIF__WXPCIF__L1,line,263,standard_branch
