name,bus0,bus1,v_nom_bus0_kv,v_nom_bus1_kv,voltage_pair_status,r_pu_hint,x_pu_hint,s_nom_mva_hint,tap_ratio_hint,has_tap_ratio_hint,tap_side_hint,source_branch_id,source_branch_type,source_row_number,notes
WAANDE__WTAAGK__T1,WAANDE,WTAAGK,138.0,,missing_bus_v_nom,0.0011239330826103764,0.03164030657844377,405.0,,False,,WAANDE__WTAAGK__T1,transformer,273,standard_branch
WACLAK__WACLAE__T1,WACLAK,WACLAE,,138.0,missing_bus_v_nom,0.00777778,0.2081881,54.0,,False,,WACLAK__WACLAE__T1,transformer,822,standard_branch
WAGUAE__WTAG1K__T1,WAGUAE,WTAG1K,138.0,,missing_bus_v_nom,0.01268137,0.3049672,33.0,,False,,WAGUAE__WTAG1K__T1,transformer,694,standard_branch
WAGUBE__WTAG2K__T1,WAGUBE,WTAG2K,138.0,,missing_bus_v_nom,0.01268137,0.306507,33.0,,False,,WAGUBE__WTAG2K__T1,transformer,693,standard_branch
WAHO1E__WAHONF__T1,WAHO1E,WAHONF,138.0,69.0,different_voltage_ok,0.0025,0.073097,143.4548,,False,,WAHO1E__WAHONF__T1,transformer,66,standard_branch
WBARCE__WBCARK__T1,WBARCE,WBCARK,138.0,,missing_bus_v_nom,0.00526316,0.1125085,95.0,,False,,WBARCE__WBCARK__T1,transformer,598,standard_branch
WBAYAE__WBAYAK__T1,WBAYAE,WBAYAK,138.0,,missing_bus_v_nom,0.00681569,0.206054,60.0,,False,,WBAYAE__WBAYAK__T1,transformer,652,standard_branch
WBCARF__WBARCE__T1,WBCARF,WBARCE,69.0,138.0,different_voltage_ok,0.0125,0.2396743,45.0,,False,,WBCARF__WBARCE__T1,transformer,597,standard_branch
WBCHIE__WBCHIF__T1,WBCHIE,WBCHIF,138.0,69.0,different_voltage_ok,0.00963281,0.125882,96.0,,False,,WBCHIE__WBCHIF__T1,transformer,258,standard_branch
WBDERF__WBDERK__T1,WBDERF,WBDERK,69.0,13.8,different_voltage_ok,0.125,1.99609,4.0,,False,,WBDERF__WBDERK__T1,transformer,462,standard_branch
WBON2E__WBON2F__T1,WBON2E,WBON2F,138.0,69.0,different_voltage_ok,0.00274,0.07609354,138.0,1.1,True,,WBON2E__WBON2F__T1,transformer,334,transformer_with_tap_ratio
WBON3C__WBON3D__T1,WBON3C,WBON3D,,345.0,missing_bus_v_nom,0.00016667,0.05671975,300.0,,False,,WBON3C__WBON3D__T1,transformer,779,standard_branch
WBON3C__WBON3E__T1,WBON3C,WBON3E,,138.0,missing_bus_v_nom,0.001208,0.05998784,250.0,,False,,WBON3C__WBON3E__T1,transformer,782,standard_branch
WCANAE__WCANAF__T2,WCANAE,WCANAF,138.0,69.0,different_voltage_ok,0.00357143,0.07856172,140.0,,False,,WCANAE__WCANAF__T2,transformer,418,standard_branch
WCANAE__WXCANF__T1,WCANAE,WXCANF,138.0,69.0,different_voltage_ok,0.00068,0.03749384,200.0,,False,,WCANAE__WXCANF__T1,transformer,417,standard_branch
WCC21E__WCCA2F__T1,WCC21E,WCCA2F,138.0,69.0,different_voltage_ok,0.00666667,0.1202153,75.0,,False,,WCC21E__WCCA2F__T1,transformer,601,standard_branch
WCEMEE__WBERSF__T1,WCEMEE,WBERSF,138.0,69.0,different_voltage_ok,0.0125,0.2747158,40.0,,False,,WCEMEE__WBERSF__T1,transformer,764,standard_branch
WCOAPE__WCSOLK__T1,WCOAPE,WCSOLK,138.0,,missing_bus_v_nom,0.002345,0.100588,130.0,,False,,WCOAPE__WCSOLK__T1,transformer,702,standard_branch
