generator_id,generator_name,snapshot_id,snapshot_order,snapshot_label_modom,time_block_group,forecast_mw,static_pmax_mw,forecast_pu,source_sheet
G3ESOCO,PARQUE SOLAR EL SOCO,h_01,1,1,canonical_hours_24h,0.0,50.0,0.0,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_02,2,2,canonical_hours_24h,0.0,50.0,0.0,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_03,3,3,canonical_hours_24h,0.67,50.0,0.0134,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_04,4,4,canonical_hours_24h,14.805,50.0,0.2961,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_05,5,5,canonical_hours_24h,31.025000000000002,50.0,0.6205,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_06,6,6,canonical_hours_24h,34.885000000000005,50.0,0.6977000000000001,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_07,7,7,canonical_hours_24h,32.14,50.0,0.6428,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_08,8,8,canonical_hours_24h,21.665,50.0,0.43329999999999996,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_09,9,9,canonical_hours_24h,5.609999999999999,50.0,0.1122,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_10,10,10,canonical_hours_24h,0.0,50.0,0.0,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_11,11,11,canonical_hours_24h,0.0,50.0,0.0,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_12,12,12,canonical_hours_24h,0.0,50.0,0.0,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_13,13,13,canonical_hours_24h,0.0,50.0,0.0,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_14,14,14,canonical_hours_24h,0.0,50.0,0.0,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_15,15,15,canonical_hours_24h,0.705,50.0,0.0141,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_16,16,16,canonical_hours_24h,14.780000000000001,50.0,0.29560000000000003,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_17,17,17,canonical_hours_24h,30.77,50.0,0.6154,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_18,18,18,canonical_hours_24h,34.335,50.0,0.6867,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_19,19,19,canonical_hours_24h,30.735,50.0,0.6147,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_20,20,20,canonical_hours_24h,20.08,50.0,0.40159999999999996,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_21,21,21,canonical_hours_24h,5.38,50.0,0.1076,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_22,22,22,canonical_hours_24h,0.0,50.0,0.0,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_23,23,23,canonical_hours_24h,0.0,50.0,0.0,Pronostico Renovable
G3ESOCO,PARQUE SOLAR EL SOCO,h_24,24,24,canonical_hours_24h,0.0,50.0,0.0,Pronostico Renovable
G3JCOCO1,JUANCHO LOS COCOS 1,h_01,1,1,canonical_hours_24h,7.014583333,25.0,0.28058333332,Pronostico Renovable
G3JCOCO1,JUANCHO LOS COCOS 1,h_02,2,2,canonical_hours_24h,7.014583333,25.0,0.28058333332,Pronostico Renovable
G3JCOCO1,JUANCHO LOS COCOS 1,h_03,3,3,canonical_hours_24h,7.346354166999999,25.0,0.29385416668,Pronostico Renovable
G3JCOCO1,JUANCHO LOS COCOS 1,h_04,4,4,canonical_hours_24h,8.246875,25.0,0.329875,Pronostico Renovable
G3JCOCO1,JUANCHO LOS COCOS 1,h_05,5,5,canonical_hours_24h,9.6213541665,25.0,0.38485416666,Pronostico Renovable
G3JCOCO1,JUANCHO LOS COCOS 1,h_06,6,6,canonical_hours_24h,9.905729165,25.0,0.3962291666,Pronostico Renovable
G3JCOCO1,JUANCHO LOS COCOS 1,h_07,7,7,canonical_hours_24h,8.815625,25.0,0.352625,Pronostico Renovable
G3JCOCO1,JUANCHO LOS COCOS 1,h_08,8,8,canonical_hours_24h,7.583333333000001,25.0,0.30333333332,Pronostico Renovable
G3JCOCO1,JUANCHO LOS COCOS 1,h_09,9,9,canonical_hours_24h,5.9244791665,25.0,0.23697916666000002,Pronostico Renovable
G3JCOCO1,JUANCHO LOS COCOS 1,h_10,10,10,canonical_hours_24h,4.4552083335,25.0,0.17820833334,Pronostico Renovable
G3JCOCO1,JUANCHO LOS COCOS 1,h_11,11,11,canonical_hours_24h,4.6409226189999995,25.0,0.18563690475999997,Pronostico Renovable
G3JCOCO1,JUANCHO LOS COCOS 1,h_12,12,12,canonical_hours_24h,6.2214285715,25.0,0.24885714286,Pronostico Renovable
G3JCOCO1,JUANCHO LOS COCOS 1,h_13,13,13,canonical_hours_24h,6.9399999999999995,25.0,0.27759999999999996,Pronostico Renovable
G3JCOCO1,JUANCHO LOS COCOS 1,h_14,14,14,canonical_hours_24h,7.3795,25.0,0.29518,Pronostico Renovable
G3JCOCO1,JUANCHO LOS COCOS 1,h_15,15,15,canonical_hours_24h,7.256,25.0,0.29024,Pronostico Renovable
