sheet_index,sheet_name,dimension_ref,row_count_trimmed,col_count_trimmed
1,Menú Principal,A1:S34,34,19
2,Registro de versiones,A5:F19,15,6
3,Menu,A1:AK1810,1810,37
4,ETIQUETA,A1:T22,22,20
5,Condiciones iniciales,A1:V112,112,22
6,DESPACHO EN OM,A1:HK217,217,219
7,DESPACHO EN OM EN PRUEBA ,A1:HK212,212,219
8,Limitación ER (Nueva),A1:BK204,204,63
9,Limitación ER,A1:BK98,98,63
10,Pruebas operativas,B1:BE590,590,56
11,e_datgen,A1:AX584,584,50
12,e_datdem,A1:AZ531,531,52
13,e_datmnx,A1:AW697,697,49
14,e_datgrpf,A1:AW519,519,49
15,e_datred,A1:S849,849,19
16,e_modred,A1:FR44,44,174
17,e_fgate,A1:AX24,24,50
18,e_sets,A1:IV2212,2212,256
19,e_opcn,A2:AJ44,43,36
20,e_hidro,A2:S221,220,19
21,PForz,A5:CB225,221,80
22,Lista de Mérito,B1:AJ123,123,35
23,CVP,A1:T59,59,20
24,SIE 039-2013,B1:XFA1048565,1048565,16380
25,Mantenimientos Red Transmision,A1:U1042482,1042482,21
26,Despacho Potencia,A1:BH1000,1000,60
27,Información Recibida,A1:AI147,147,35
28,Reporte de Indisponibilidad,A1:AY421,421,51
29,DEMANDA SENI,A1:AJ409,409,36
30,Despacho de Reserva RPF,A1:HU424,424,229
31,Despacho de Reserva RSF-AGC,A1:AB453,453,28
32,Reporte Reserva Operativa,A1:HU414,414,229
33,Reporte Reserva Fría,A1:HU416,416,229
34,Factores de Nodo (Inyección),B1:AJ144,144,35
35,Reporte de Disponibilidad,A1:AX149,149,50
36,Pronostico Renovable,A1:AX119,119,50
37,Pronostico GIZ,A1:AY1313,1313,51
38,Curtailment,A1:BB54,54,54
39,Total Renovable,A1:BB48,48,54
40,Detalle de Subsistemas,A1:AR614,614,44
41,Factores de Nodo (Retiro),B1:NL702,702,375
42,basedatosubsistema,A1:H40,40,8
43,e_opf,A1:XFA3149,3149,16381
44,e_AreaTrafoSet,A1:I451,451,9
45,e_TapSetPoints,A1:AA206,206,27
46,e_Pload,A1:AX533,533,50
47,e_Qload,A1:AX533,533,50
48,S_ASIGRPF,A1:AZ317,317,52
49,Acuerdos de cobertura,A2:AJ205,204,36
50,Listing,A1,1,1
51,FLUJO_ACTIVA,A1:AZ993,993,52
52,FLUJO_REACTIVA,A1:AZ993,993,52
53,GEN_Q,A1:AW95,95,49
54,P_ENS,A1:AW531,531,49
55,Q_ENS,A1:AW531,531,49
56,TAPS,A1:AX207,207,50
57,VOLTAJE,A1:AW539,539,49
58,CAPACITORES,A1:AW38,38,49
59,generadores,A1:FT220,220,176
60,Reporte,A1:BG209,209,59
61,Analisis de Estabilidad,A1:Z458,458,26
62,Detalle de los Redespachos,A1:Q457,457,17
63,Despacho de Potencia Reactiva,A2:Z104,103,26
64,Voltaje por barras,A1:Z535,535,26
65,Demanda Activa por cargas,B1:AO495,495,40
66,Demanda Activa por cargas RPDD,B1:AJ442,442,35
67,PDemanda,A1:AA395,395,27
68,QDemanda,A1:Y395,395,25
69,COMPARACION CARGAS,A2:AA340,339,27
70,Demanda Reactiva por cargas,B1:AD320,320,29
71,DEMANDA SMC,A2:AH552,551,34
72,DEMANDA SMC_Declarado,A2:AH552,551,34
73,Demanda Activa SMC,B1:BE400,400,56
74,DEMANDA SENI - DECLARADA,A1:AJ409,409,36
75,Demanda Activa por cargas - DEC,B1:AK483,483,36
76,Demanda Reactiva por cargas DEC,B1:AD318,318,29
77,PDemanda_Declarado,A1:Y395,395,25
78,QDemanda_Declarado,A1:Y395,395,25
79,e_Qload_Declarado,A1:AX533,533,50
80,e_datdem_Declarado,A1:AX533,533,50
81,Barras (Zonas),A1:AE721,721,31
82,Centrales (Zonas),A1:AB132,132,28
83,MAPEO TODAS LAS BARRAS,B1:L538,538,11
84,MAPEO CENTRALES DE GENERACION,B1:E91,91,4
85,DR ITABO,B2:AA56,55,26
86,RF Tiempo Real,B1:AH32,32,33
87,CMG,A5:E7,3,5
88,DATA_GRAFICOS,A1:FN141,141,170
89,GRAFICOS,A4:FE303,300,161
90,S_INERCIA,A1:Y119,119,25
91,RFRIA,A1:AZ133,133,52
92,S_DESPACHOM,A1:AZ168,168,52
93,s_resumen,A2:AZ260,259,52
94,S_NEMBALSE,A1:AX44,44,50
95,S_RPF,A1:AZ176,176,52
96,S_ACRPF,A1:BA58,58,53
97,S_RSF,A1:AY97,97,51
98,S_AGC,A1:AY79,79,51
99,S_PENSB,A1:AX500,500,50
100,S_FWGATE,A1:AZ28,28,52
101,s_lmerito,A1:AL2835,2835,38
102,RTERM,A1:AZ117,117,52
103,varstado,A1:AW145,145,49
104,DESPACHO_MOTOR,A1:AW863,863,49
105,ROPERATIVA,A1:AW53,53,49
106,S_FLUJO,A1:AZ841,841,52
107,S_PNSU,A1:AX33455,33455,50
108,S_CURTAILMENT,A1:Y106,106,25
109,S_FNODO,A1:AY1539,1539,51
110,Sheet1,B1:M349,349,12
111,Verificación_envio_bd,B1:J724,724,9
112,DatosTablas,B1:D12,12,3
