dispatch_order,generator_id,generator_name,bus_id,technology_group,enabled,static_pmax_mw,static_pmin_mw,available_mw,dispatch_cap_mw,dispatch_mw,headroom_mw,marginal_cost,used_cost_fallback,availability_source
1,G3AGUAC1,AGUACATE 1,WAGUAE,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,generator_availability
2,G3AGUAC2,AGUACATE 2,WAGUAE,2,True,28.0,20.0,28.0,28.0,28.0,0.0,0.0,False,generator_availability
3,G3AVARG1,ANIANA VARGAS 1,WTTA1K,3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,generator_availability
4,G3AVARG2,ANIANA VARGAS 2,WTAV1K,3,True,0.2,0.2,0.2,0.2,0.2,0.0,0.0,False,generator_availability
5,G3BAIGU1,BAIGUAQUE 1,WTAVBE,3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,generator_availability
6,G3BAIGU2,BAIGUAQUE 2,WTAVBE,3,True,0.3,0.3,0.3,0.3,0.3,0.0,0.0,False,generator_availability
7,G3BDEREC,BRAZO DERECHO,WBDERF,3,True,1.0,0.0,1.0,1.0,1.0,0.0,0.0,False,generator_availability
8,G3CEMON1,CONTRA EMBALSE MONCION 1,WTCEMK,3,True,0.9,0.8,0.9,0.9,0.9,0.0,0.0,False,generator_availability
9,G3CEMON2,CONTRA EMBALSE MONCION 2,WTCEMK,3,True,0.9,0.8,0.9,0.9,0.9,0.0,0.0,False,generator_availability
10,G3DRODR1,DOMINGO RODRIGUEZ 1,WDRODF,3,True,1.1,0.3,1.1,1.1,1.1,0.0,0.0,False,generator_availability
11,G3DRODR2,DOMINGO RODRIGUEZ 2,WDRODF,3,True,1.1,0.3,1.1,1.1,1.1,0.0,0.0,False,generator_availability
12,G3ESALTO,EL SALTO,WCONSF,3,True,0.3,0.3,0.3,0.3,0.3,0.0,0.0,False,generator_availability
13,G3HATIL2,HATILLO 2,WHATIF,3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,generator_availability
14,G3HATILL,HATILLO,WHATIF,3,True,8.0,4.0,8.0,8.0,8.0,0.0,0.0,False,generator_availability
15,G3JCOCO1,JUANCHO LOS COCOS 1,WSLCOE,4,True,25.0,0.0,23.4,23.4,23.4,0.0,0.0,False,generator_availability
16,G3JIGUE1,JIGUEY 1,WJIGBE,2,True,47.0,33.0,0.0,0.0,0.0,0.0,0.0,False,generator_availability
17,G3JIGUE2,JIGUEY 2,WJIGUE,2,True,46.0,33.0,46.0,46.0,46.0,0.0,0.0,False,generator_availability
18,G3JIMENO,JIMENOA,WJIMEF,3,True,5.0,4.0,5.0,5.0,5.0,0.0,0.0,False,generator_availability
19,G3LANGOS,LOPEZ ANGOSTURA,WLANGE,2,True,7.2,6.0,7.2,7.2,7.2,0.0,0.0,False,generator_availability
20,G3LANONE,LOS ANONES,WPDISF,3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,generator_availability
21,G3LBARIA,LAS BARIAS,WLBARF,3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,generator_availability
22,G3LCOCO2,LOS COCOS 2,WSLCOE,4,True,50.0,0.0,46.0,46.0,46.0,0.0,0.0,False,generator_availability
23,G3LDAMAS,LAS DAMAS,WLDAMF,3,True,2.3,0.4,2.3,2.3,2.3,0.0,0.0,False,generator_availability
24,G3LTORO1,LOS TOROS 1,WLTORF,3,True,3.6,1.5,3.6,3.6,3.6,0.0,0.0,False,generator_availability
25,G3LTORO2,LOS TOROS 2,WTTO1K,3,True,3.3,1.5,3.3,3.3,3.3,0.0,0.0,False,generator_availability
26,G3MAGUE1,MAGUEYAL 1,WMAGUF,3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,generator_availability
27,G3MAGUE2,MAGUEYAL 2,WMAGUF,3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,generator_availability
28,G3MONCI1,MONCION 1,WMONCE,2,True,26.0,16.0,0.0,0.0,0.0,0.0,0.0,False,generator_availability
29,G3MONCI2,MONCION 2,WMONCE,2,True,26.0,16.0,26.0,26.0,26.0,0.0,0.0,False,generator_availability
30,G3NNAJAY,NIZAO NAJAYO,WPDISF,3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,generator_availability
31,G3PALOM1,PALOMINO 1,WPLM1E,2,True,40.0,20.0,0.0,0.0,0.0,0.0,0.0,False,generator_availability
32,G3PALOM2,PALOMINO 2,WPLM1E,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,generator_availability
33,G3PEACLA,PARQUE EÓLICO AGUA CLARA,WACLAE,4,True,50.0,0.0,50.0,50.0,50.0,0.0,0.0,False,generator_availability
34,G3PEESPE,PARQUE EÓLICO ESPERANZA,WESP1E,4,True,49.5,0.0,49.5,49.5,49.5,0.0,0.0,False,generator_availability
35,G3PEGUAN,PARQUE EÓLICO GUANILLO,WGNLLE,4,True,50.0,0.0,50.0,50.0,50.0,0.0,0.0,False,generator_availability
36,G3PELAR2,PARQUE EOLICO LARIMAR II,WSLCOE,4,True,48.3,0.0,44.85,44.85,44.85,0.0,0.0,False,generator_availability
37,G3PELARI,PARQUE EOLICO LARIMAR,WSLCOE,4,True,49.5,0.0,49.5,49.5,49.5,0.0,0.0,False,generator_availability
38,G3PELGU2,PARQUE EÓLICO LOS GUZMANCITOS 2,WLGUZE,4,True,46.8,0.0,46.8,46.8,46.8,0.0,0.0,False,generator_availability
39,G3PELGUZ,PARQUE EÓLICO LOS GUZMANCITOS,WLGUZE,4,True,48.0,0.0,48.0,48.0,48.0,0.0,0.0,False,generator_availability
40,G3PEMATA,PARQUE EÓLICO DE MATAFONGO,WMTFNE,4,True,49.6,0.0,49.6,49.6,49.6,0.0,0.0,False,generator_availability
41,G3PINAL1,PINALITO 1,WPINAF,2,True,25.0,12.0,0.0,0.0,0.0,0.0,0.0,False,generator_availability
42,G3PINAL2,PINALITO 2,WPINAF,2,True,25.0,12.0,25.0,25.0,25.0,0.0,0.0,False,generator_availability
43,G3QCABRE,QUILVIO CABRERA,WSLCOE,4,True,8.25,0.0,6.6,6.6,6.6,0.0,0.0,False,generator_availability
44,G3RBLAN1,RIO BLANCO 1,WRBLAF,2,True,12.5,8.5,12.5,12.5,12.5,0.0,0.0,False,generator_availability
45,G3RBLAN2,RIO BLANCO 2,WRBLAF,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,generator_availability
46,G3RINCON,RINCON,WRINCF,2,True,9.8,4.0,0.0,0.0,0.0,0.0,0.0,False,generator_availability
47,G3RJCRUZ,ROSA JULIA DE LA CRUZ,WNAGUF,3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,generator_availability
48,G3SABANE,SABANETA,WSABAF,3,True,5.1,4.0,5.1,5.1,5.1,0.0,0.0,False,generator_availability
49,G3SYEGUA,SABANA YEGUA,WSYEGF,3,True,6.9,5.0,6.9,6.9,6.9,0.0,0.0,False,generator_availability
50,G3TAVER1,TAVERA 1,WTAVBE,2,True,48.0,33.0,0.0,0.0,0.0,0.0,0.0,False,generator_availability
51,G3TAVER2,TAVERA 2,WTAVBE,2,True,48.0,33.0,48.0,48.0,48.0,0.0,0.0,False,generator_availability
52,G3VALDE1,VALDESIA 1,WVALDE,2,True,24.0,16.0,0.0,0.0,0.0,0.0,0.0,False,generator_availability
53,G3VALDE2,VALDESIA 2,WVALDE,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,generator_availability
54,G3PCATA2,PUNTA CATALINA 2,WCTP2D,1,True,370.19,277.0,370.19,370.19,370.19,0.0,1871.2748340582184,False,generator_availability
55,G3PCATA1,PUNTA CATALINA 1,WCTP1D,1,True,300.0,250.0,300.0,300.0,300.0,0.0,1915.8710228097616,False,generator_availability
56,G3ITABO1,ITABO 1,WITA1E,1,True,120.0,94.0,120.0,120.0,120.0,0.0,3171.3230794507767,False,generator_availability
57,G3ITABO2,ITABO 2,WITA1E,1,True,120.0,100.0,120.0,120.0,120.0,0.0,3197.315959683714,False,generator_availability
58,G3CES2GN,CESPM 2 GN,WSPM2E,1,True,90.0,66.0,90.0,90.0,90.0,0.0,3344.4144512287744,False,generator_availability
59,G3CES3GN,CESPM 3 GN,WSPM2E,1,True,90.0,66.0,90.0,90.0,90.0,0.0,3367.795728707031,False,generator_availability
60,G3CES1GN,CESPM 1 GN,WSPM2E,1,True,90.0,66.0,90.0,90.0,90.0,0.0,3373.7348806246227,False,generator_availability
61,G3QUI2GN,QUISQUEYA 2 GN,WBON3D,1,True,198.0,66.0,198.0,198.0,198.0,0.0,3413.9302378588127,False,generator_availability
62,G3EM3CCT,ESTRELLA DEL MAR 3 CCT,WEMB3F,1,True,147.0,96.0,147.0,147.0,147.0,0.0,3440.60526817048,False,generator_availability
63,G3EM3CCP,ESTRELLA DEL MAR 3 CCP,WEMB3F,1,True,0.0,46.0,0.0,0.0,0.0,0.0,3488.0963191245196,False,generator_availability
64,G3BCARBO,BARAHONA CARBON,WBARCE,1,True,50.0,29.0,50.0,50.0,50.0,0.0,3878.0956692543255,False,generator_availability
65,G3Q1SPGN,QUISQUEYA 1 SAN PEDRO GN,WBON3D,1,True,68.0,10.3,68.0,68.0,68.0,0.0,4321.964563428512,False,generator_availability
66,G3QUI1GN,QUISQUEYA 1 GN,WBON3D,1,True,133.0,66.0,133.0,133.0,133.0,0.0,4321.964563428512,False,generator_availability
67,G3E4CCGN,ENERGAS 4 CICLO COMBINADO GN,WENE4E,1,True,130.0,94.0,126.6,126.6,126.6,0.0,4623.439868605826,False,generator_availability
68,G3AANDGN,AES ANDRÉS GN,WAANDE,1,True,300.0,150.0,300.0,300.0,300.0,0.0,4764.031875543865,False,generator_availability
69,G3EM3CS,ESTRELLA DEL MAR 3 CS,WEMB3F,1,True,0.0,27.0,0.0,0.0,0.0,0.0,5088.550735763267,False,generator_availability
70,G3SPBIOE,SAN PEDRO BIO-ENERGY,WSPBEE,4,True,30.0,18.0,30.0,30.0,30.0,0.0,5216.661637611238,False,generator_availability
71,G3EM2CGN,ESTRELLA DEL MAR 2 CGN,WEMA2E,1,True,0.0,49.0,0.0,0.0,0.0,0.0,5586.933569336709,False,generator_availability
72,G3SIBACC,SIBA CICLO COMBINADO,WSIBBE,1,True,260.0,140.0,260.0,260.0,260.0,0.0,5680.542253615097,False,generator_availability
73,G3EM2SGN,ESTRELLA DEL MAR 2 SGN,WEMA2E,1,True,0.0,30.0,0.0,0.0,0.0,0.0,5871.479125533299,False,generator_availability
74,G3METALD,METALDOM,WMETAE,1,True,0.0,10.5,0.0,0.0,0.0,0.0,6177.636689413543,False,generator_availability
75,G3Q1SPFO,QUISQUEYA 1 SAN PEDRO,WBON3D,1,True,0.0,10.3,0.0,0.0,0.0,0.0,6678.251777848861,False,generator_availability
76,G3QUI1FO,QUISQUEYA 1,WBON3D,1,True,0.0,66.0,0.0,0.0,0.0,0.0,6678.251777848861,False,generator_availability
77,G3QUI2FO,QUISQUEYA 2 FO,WBON3D,1,True,0.0,66.0,0.0,0.0,0.0,0.0,7025.039201125142,False,generator_availability
78,G3EM2CFO,ESTRELLA DEL MAR 2 CFO,WEMA2E,1,True,110.0,49.0,110.0,110.0,99.16399671111492,10.836003288885081,7550.487920788639,False,generator_availability
79,G3SIBACS,SIBA CICLO SIMPLE,WSIBBE,1,True,0.0,13.0,0.0,0.0,0.0,0.0,7570.966289985678,False,generator_availability
80,G3SESTE,SULTANA DEL ESTE,WSESTE,1,True,51.0,14.0,51.0,51.0,0.0,51.0,7636.1466282238425,False,generator_availability
81,G3LOPPGN,LOS ORÍGENES POWER PLANT GAS NATURAL,WLORIE,1,True,0.0,14.0,0.0,0.0,0.0,0.0,7853.7093066638445,False,generator_availability
