flowgate_id,snapshot,signed_flow_mw,limit_mw,util_pct
fg1,h_01,71.5987,200.0,35.8
fg1,h_02,73.176,200.0,36.59
fg1,h_03,76.1348,200.0,38.07
fg1,h_04,76.7723,200.0,38.39
fg1,h_05,79.17,200.0,39.59
fg1,h_06,53.5144,200.0,26.76
fg1,h_07,65.0193,200.0,32.51
fg1,h_08,93.5624,200.0,46.78
fg1,h_09,116.3593,200.0,58.18
fg1,h_10,117.4399,200.0,58.72
fg1,h_11,104.153,200.0,52.08
fg1,h_12,106.0572,200.0,53.03
fg1,h_13,87.2697,200.0,43.63
fg1,h_14,89.3436,200.0,44.67
fg1,h_15,92.5598,200.0,46.28
fg1,h_16,163.4884,200.0,81.74
fg1,h_17,135.7071,200.0,67.85
fg1,h_18,118.4994,200.0,59.25
fg1,h_19,105.6931,200.0,52.85
fg1,h_20,94.2169,200.0,47.11
fg1,h_21,92.5822,200.0,46.29
fg1,h_22,94.1156,200.0,47.06
fg1,h_23,97.3383,200.0,48.67
fg1,h_24,101.2093,200.0,50.6
fg2,h_01,19.0386,670.0,2.84
fg2,h_02,26.1923,670.0,3.91
fg2,h_03,34.077,670.0,5.09
fg2,h_04,40.8169,670.0,6.09
fg2,h_05,47.7461,670.0,7.13
fg2,h_06,53.8981,670.0,8.04
fg2,h_07,89.9464,670.0,13.42
fg2,h_08,176.5118,670.0,26.35
fg2,h_09,293.7581,670.0,43.84
fg2,h_10,300.0433,670.0,44.78
fg2,h_11,253.5439,670.0,37.84
fg2,h_12,255.5887,670.0,38.15
fg2,h_13,203.107,670.0,30.31
fg2,h_14,204.8412,670.0,30.57
fg2,h_15,210.5352,670.0,31.42
fg2,h_16,290.3746,670.0,43.34
fg2,h_17,208.7984,670.0,31.16
fg2,h_18,160.8718,670.0,24.01
fg2,h_19,83.3279,670.0,12.44
fg2,h_20,45.7825,670.0,6.83
fg2,h_21,40.4445,670.0,6.04
fg2,h_22,45.202,670.0,6.75
fg2,h_23,54.9398,670.0,8.2
fg2,h_24,65.5607,670.0,9.79
