bus_id_modom,vm_pu,va_degree,vn_kv,matched,hour
WAANDE,1.0017414929524535,-0.7109014667671698,138.0,True,h_01
WABCOF,0.9833307361015561,-15.119309959709618,69.0,True,h_01
WABISF,0.9692566542540053,-24.317204035634767,69.0,True,h_01
WABRUF,0.9236808007869612,-14.65530943781301,69.0,True,h_01
WACIBF,0.9948916133951075,-21.276226291408182,69.0,True,h_01
WACLAE,0.9928780328027915,-16.134998594668716,138.0,True,h_01
WACLAK,0.9943108872949646,-16.14244235201563,34.5,True,h_01
WADMIF,,,,False,h_01
WADOMF,1.01141025344786,-14.614528774275842,69.0,True,h_01
WAGUAE,1.0031301816804254,-7.994308877189651,138.0,True,h_01
WAGUBE,1.0031301816804254,-7.994308877189651,138.0,True,h_01
WAHMIF,0.9702734117719387,-29.532386654346336,69.0,True,h_01
WAHO1E,0.9863182971959653,-10.366461632746853,138.0,True,h_01
WAHO2E,0.9863182971959653,-10.366461632746853,138.0,True,h_01
WAHOBF,0.9806626990809066,-13.537555859216878,69.0,True,h_01
WAHONF,0.9806626990809066,-13.537555859216878,69.0,True,h_01
WAIAMF,,,,False,h_01
WAIAZF,,,,False,h_01
WAIBAF,,,,False,h_01
WAIISF,,,,False,h_01
WAISAF,,,,False,h_01
WAISCF,0.9878911277637656,-16.555958167094833,69.0,True,h_01
WAISOF,0.9933974187888169,-28.35628654189647,69.0,True,h_01
WAIUNF,,,,False,h_01
WAIZSF,,,,False,h_01
WAORIF,0.9533975219179539,-13.961132888387096,69.0,True,h_01
WAPERF,0.978882638417986,-33.10742443585429,69.0,True,h_01
WAPFAF,0.9970077348505587,-21.0861999650585,69.0,True,h_01
WAQUIF,0.9858678480849372,-22.378847269611025,69.0,True,h_01
WASOEF,0.9636652149923599,-12.036038798120858,69.0,True,h_01
WAZUAF,0.9743166834748367,-13.388318793035648,69.0,True,h_01
WBALDF,0.9975870136483224,-21.04000675218134,69.0,True,h_01
WBANIF,0.976733076216481,-15.723299085585225,69.0,True,h_01
WBAPEF,0.9745737309681802,-16.070264843655462,69.0,True,h_01
WBARAF,0.9833036409933661,-10.168401330067578,69.0,True,h_01
WBARCE,,,,False,h_01
WBASIF,0.9467077308140903,-14.15813085703377,69.0,True,h_01
WBAYAE,1.0084871952101195,-7.611070981480302,138.0,True,h_01
WBAYAK,1.0083126625027368,-7.613764457193591,34.5,True,h_01
WBAYOF,0.9800168425188456,-14.11628260935035,69.0,True,h_01
WBCARF,,,,False,h_01
WBCARK,1.0,-4.105343622326298,13.800000190734863,True,h_01
WBCHIE,0.9872375692539828,-9.586622042600313,138.0,True,h_01
WBCHIF,0.957246797995675,-12.903006648368539,69.0,True,h_01
WBDERF,0.959244800437929,-24.90582946107986,69.0,True,h_01
WBDERK,0.9999999999999999,-25.15439764346163,13.800000190734863,True,h_01
WBENEF,0.9545445485844648,-20.19819350876802,69.0,True,h_01
WBERSF,,,,False,h_01
WBLECF,0.9352511067680852,-17.711454385441275,69.0,True,h_01
WBMATF,0.9738358348612568,-15.9962497235286,69.0,True,h_01
WBNVFF,,,,False,h_01
WBON2E,0.9936239370859866,-15.245364112166635,138.0,True,h_01
WBON2F,,,,False,h_01
WBON3C,,,,False,h_01
WBON3D,1.0059712447442775,-8.881575008767188,345.0,True,h_01
WBON3E,0.9937021563280534,-15.241336847539072,138.0,True,h_01
WBONAF,0.9843739257038517,-20.871753029613334,69.0,True,h_01
WBOPEF,,,,False,h_01
WBPOPF,0.9862955642640355,-10.683643356122458,69.0,True,h_01
WBVISF,0.9576995696478369,-17.705581562641758,69.0,True,h_01
WCABAF,0.9817227387176436,-29.67805072659632,69.0,True,h_01
WCALAE,1.007647116386977,-7.8961411607377645,138.0,True,h_01
WCALBE,1.007647116386977,-7.8961411607377645,138.0,True,h_01
WCANAE,,,,True,h_01
WCANAF,,,,True,h_01
WCAPOF,0.9417544064886744,-10.781327646508023,69.0,True,h_01
WCATAF,0.9379224912969854,-14.15666460062886,69.0,True,h_01
WCAYAF,0.9585248407072577,-13.488411843890198,69.0,True,h_01
WCBOHF,0.9838031241448981,-14.06375071839137,69.0,True,h_01
WCBYNF,0.9508809383668663,-16.238614875578584,69.0,True,h_01
WCC21E,1.0038119260302623,-7.2012929650838995,138.0,True,h_01
WCCA2F,0.9972981384011842,-10.311152860029386,69.0,True,h_01
WCCABF,0.9971364353535276,-10.377504139736972,69.0,True,h_01
WCCARF,0.9361641043858143,-14.446187313912326,69.0,True,h_01
WCCIBF,0.9937439650814888,-23.010954950321143,69.0,True,h_01
WCDAGF,0.9692112667538807,-15.94735691071483,69.0,True,h_01
WCEMEE,1.0014882149615785,-7.191882145782256,138.0,True,h_01
WCENOF,0.9608442571914176,-29.3232465334971,69.0,True,h_01
WCEPPF,,,,False,h_01
WCES1K,1.0199999809265137,-7.291077390423487,13.800000190734863,True,h_01
WCES2K,1.0199999809265137,-7.291077390423487,13.800000190734863,True,h_01
WCES3K,1.0199999809265137,-7.270997418837122,13.800000190734863,True,h_01
WCESPF,0.9501185550138967,-25.34515109093311,69.0,True,h_01
WCESPK,,,,False,h_01
WCINDF,,,,False,h_01
WCLUIE,0.995566766429305,-7.836834733102554,138.0,True,h_01
WCNACF,,,,False,h_01
WCNPEE,0.9859353985474799,-10.089828401375156,138.0,True,h_01
WCNSLF,,,,False,h_01
WCOAPE,0.9887696579739579,-8.747943215086343,138.0,True,h_01
WCOCOF,0.990950771601292,-16.052813609490403,69.0,True,h_01
WCODAF,0.9655888555359045,-29.4046642521156,69.0,True,h_01
WCOHEF,1.010105279604477,-14.883294203015375,69.0,True,h_01
WCONSF,1.0042172363496897,-34.238966397177286,69.0,True,h_01
WCORMF,0.971174928942292,-25.231484871470133,69.0,True,h_01
WCOTAE,0.9591732032833704,-12.322846099755429,138.0,True,h_01
WCOTBE,0.9591732032833704,-12.322846099755429,138.0,True,h_01
WCOTUF,0.9678857537941271,-30.99237512103954,69.0,True,h_01
WCPVCF,0.9720940724408761,-15.814185541387937,69.0,True,h_01
WCSATF,0.9734958923170205,-15.699775853988536,69.0,True,h_01
WCSO1K,0.9591732032833704,-12.322846099755429,34.5,True,h_01
WCSO2K,0.9591732032833704,-12.322846099755429,34.5,True,h_01
