snapshot,G3AANDFO,G3AANDGN,G3AGUAC1,G3AGUAC2,G3AVARG1,G3AVARG2,G3BAIGU1,G3BAIGU2,G3BCARBO,G3BDEREC,G3BERSAL,G3CEMON1,G3CEMON2,G3CES1FO,G3CES1GN,G3CES2FO,G3CES2GN,G3CES3FO,G3CES3GN,G3DRODR1,G3DRODR2,G3E4CCFO,G3E4CCGN,G3EM2CFO,G3EM2CGN,G3EM2SFO,G3EM2SGN,G3EM3CCP,G3EM3CCT,G3EM3CS,G3ESALTO,G3ESOCO,G3HATIL2,G3HATILL,G3HTG,G3IKM22,G3ITABO1,G3ITABO2,G3JCOCO1,G3JIGUE1,G3JIGUE2,G3JIMENO,G3LANGOS,G3LANONE,G3LBARIA,G3LCOCO2,G3LDAMAS,G3LMINA5,G3LMINA6,G3LOPPFO,G3LOPPGN,G3LTORO1,G3LTORO2,G3LVEGA,G3MAGUE1,G3MAGUE2,G3METALD,G3MONCI1,G3MONCI2,G3MPLACS,G3MPSOLA,G3MRIO,G3NNAJAY,G3PAK01,G3PAK26,G3PAK60,G3PALAMA,G3PALENQ,G3PALOM1,G3PALOM2,G3PCATA1,G3PCATA2,G3PEACLA,G3PEESPE,G3PEGUAN,G3PELAR2,G3PELARI,G3PELGU2,G3PELGUZ,G3PEMATA,G3PEMCP,G3PEMCT,G3PFBAYA,G3PFCALA,G3PFCOAS,G3PFCOT1,G3PFCOT2,G3PFCOT3,G3PFCUM1,G3PFCUM2,G3PFCUM4,G3PFESP2,G3PFLNEG,G3PFLUCI,G3PFMAR1,G3PFMART,G3PFMATR,G3PFMIRA,G3PFMPAL,G3PFMSO1,G3PFPAY1,G3PFPER1,G3PFPER2,G3PFSAJO,G3PFVICT,G3PFVILL,G3PFWCA2,G3PFWCA3,G3PIMEN1,G3PIMEN2,G3PIMEN3,G3PIMEN4,G3PINAL1,G3PINAL2,G3PSCANO,G3PSESPE,G3PSGIRA,G3Q1SPFO,G3Q1SPGN,G3QCABRE,G3QUI1FO,G3QUI1GN,G3QUI2FO,G3QUI2GN,G3RBLAN1,G3RBLAN2,G3RINCON,G3RJCRUZ,G3SABANE,G3SANTAS,G3SESTE,G3SIBACC,G3SIBACS,G3SLORE1,G3SPBIOE,G3SYEGUA,G3TAVER1,G3TAVER2,G3VALDE1,G3VALDE2,unserved_WABCOF,unserved_WABISF,unserved_WABRUF,unserved_WACIBF,unserved_WADMIF,unserved_WADOMF,unserved_WAHMIF,unserved_WAHOBF,unserved_WAHONF,unserved_WAIAMF,unserved_WAIAZF,unserved_WAIBAF,unserved_WAIISF,unserved_WAISAF,unserved_WAISCF,unserved_WAISOF,unserved_WAIUNF,unserved_WAIZSF,unserved_WAORIF,unserved_WAPERF,unserved_WAPFAF,unserved_WAQUIF,unserved_WASOEF,unserved_WAZUAF,unserved_WBALDF,unserved_WBANIF,unserved_WBAPEF,unserved_WBARAF,unserved_WBASIF,unserved_WBAYOF,unserved_WBCHIE,unserved_WBENEF,unserved_WBLECF,unserved_WBMATF,unserved_WBNVFF,unserved_WBONAF,unserved_WBOPEF,unserved_WBPOPF,unserved_WBVISF,unserved_WCABAF,unserved_WCANAE,unserved_WCAPOF,unserved_WCATAF,unserved_WCAYAF,unserved_WCBOHF,unserved_WCBYNF,unserved_WCCARF,unserved_WCCIBF,unserved_WCDAGF,unserved_WCEMEE,unserved_WCENOF,unserved_WCESPF,unserved_WCINDF,unserved_WCLUIE,unserved_WCNACF,unserved_WCNPEE,unserved_WCNSLF,unserved_WCOCOF,unserved_WCODAF,unserved_WCOHEF,unserved_WCONSF,unserved_WCORMF,unserved_WCOTUF,unserved_WCPVCF,unserved_WCSATF,unserved_WCVEGF,unserved_WCZFSF,unserved_WDAJAE,unserved_WDAJAF,unserved_WDESPF,unserved_WDISDF,unserved_WDJAOE,unserved_WDPEDF,unserved_WEBRIE,unserved_WECHIF,unserved_WELJIF,unserved_WEMBAE,unserved_WENADE,unserved_WEPINF,unserved_WERIOF,unserved_WESEIE,unserved_WFALCM,unserved_WFANTF,unserved_WFNEGF,unserved_WFOCHF,unserved_WFOLAF,unserved_WGALAF,unserved_WGBOJF,unserved_WGHACF,unserved_WGMALF,unserved_WGOYAF,unserved_WGPETF,unserved_WGPLAF,unserved_WGRCHF,unserved_WGRSFF,unserved_WGUA2F,unserved_WGUAVF,unserved_WGUAYF,unserved_WGUERF,unserved_WHENUF,unserved_WHERRE,unserved_WHGUEE,unserved_WHIGUF,unserved_WHJBOF,unserved_WHMAYF,unserved_WHMSAF,unserved_WHNS1E,unserved_WHNUEF,unserved_WIBARF,unserved_WICAEF,unserved_WIDALF,unserved_WIISAF,unserved_WIMBEF,unserved_WINCAF,unserved_WINVBF,unserved_WINVIF,unserved_WIPSIF,unserved_WJARAF,unserved_WJDOLE,unserved_WJIBPE,unserved_WKDMBF,unserved_WKDMEF,unserved_WKINDF,unserved_WKQA1F,unserved_WKVEIF,unserved_WLALFF,unserved_WLCALF,unserved_WLCBOF,unserved_WLCUAF,unserved_WLDAMK,unserved_WLDIAF,unserved_WLGALE,unserved_WLISAE,unserved_WLMFAF,unserved_WLMINE,unserved_WLMINF,unserved_WLPARF,unserved_WLPENF,unserved_WLPRAE,unserved_WLROME,unserved_WLRPUF,unserved_WLUPEF,unserved_WLVEGF,unserved_WLVPEF,unserved_WMAIMF,unserved_WMATAE,unserved_WMEGAF,unserved_WMERCF,unserved_WMETAK,unserved_WMETBF,unserved_WMETRF,unserved_WMLTPF,unserved_WMOCAE,unserved_WMOCAF,unserved_WMONTE,unserved_WMOZAF,unserved_WMPLAF,unserved_WMULTF,unserved_WMVCIF,unserved_WMVIEF,unserved_WNAGUF,unserved_WNAVAF,unserved_WNEYBF,unserved_WNIBAE,unserved_WNOVOF,unserved_WOFALF,unserved_WOJIVF,unserved_WPALAF,unserved_WPAQ1K,unserved_WPARAE,unserved_WPAYIF,unserved_WPBAJF,unserved_WPCATE,unserved_WPCGLF,unserved_WPCIBF,unserved_WPDISF,unserved_WPDIVF,unserved_WPDORF,unserved_WPEBPE,unserved_WPFLEF,unserved_WPGARF,unserved_WPHAIF,unserved_WPIDUF,unserved_WPIISF,unserved_WPIMCF,unserved_WPIMEF,unserved_WPLASF,unserved_WPLCCF,unserved_WPLINF,unserved_WPP22E,unserved_WPPELF,unserved_WPPLAF,unserved_WPPLIF,unserved_WPPRIF,unserved_WPSCEF,unserved_WPVIEE,unserved_WQCORF,unserved_WQUINF,unserved_WRARRF,unserved_WRCHAF,unserved_WREFIF,unserved_WRNUEF,unserved_WRPELF,unserved_WRSJUE,unserved_WRZMOK,unserved_WSALCE,unserved_WSALIF,unserved_WSAMAE,unserved_WSANCE,unserved_WSCNOE,unserved_WSESTE,unserved_WSJMAF,unserved_WSJOCF,unserved_WSJUAF,unserved_WSKAPF,unserved_WSLCOE,unserved_WSMARF,unserved_WSODOF,unserved_WSOSUF,unserved_WSPBEE,unserved_WSPERF,unserved_WSPM2E,unserved_WSPMAE,unserved_WSPMAF,unserved_WSPRIF,unserved_WSRODE,unserved_WSYASF,unserved_WTAMAF,unserved_WTAVBE,unserved_WTEMPF,unserved_WTHAIF,unserved_WTIM2E,unserved_WTIREF,unserved_WTORGF,unserved_WTROQF,unserved_WTSABK,unserved_WTTITF,unserved_WTZFPF,unserved_WUASDE,unserved_WUMEDF,unserved_WVALDE,unserved_WVALLF,unserved_WVALTF,unserved_WVDU1E,unserved_WVILLF,unserved_WVMAOE,unserved_WVMELE,unserved_WVNOBF,unserved_WVOLGF,unserved_WXADOF,unserved_WXCARF,unserved_WXCB2F,unserved_WXCBAF,unserved_WXCIGF,unserved_WXCODF,unserved_WXDBRF,unserved_WXEANF,unserved_WXGRMF,unserved_WXHHIF,unserved_WXINDF,unserved_WXLFAF,unserved_WXZFNF,unserved_WYAGUF,unserved_WYAMAF,unserved_WZFALF,unserved_WZFAMF,unserved_WZFBAF,unserved_WZFDRF,unserved_WZFESF,unserved_WZFGIF,unserved_WZFGUF,unserved_WZFLIF,unserved_WZFMCF,unserved_WZFPPF,unserved_WZFS2F,unserved_WZFSAE,unserved_WZFSIF,unserved_WZFSPF,unserved_WZFVAF,unserved_WZFVEF,unserved_WZHAIF
h_01,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h_02,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h_03,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h_04,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h_05,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h_06,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h_07,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h_08,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h_09,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h_10,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
