flowgate_id,snapshot,signed_flow_mw,limit_mw,util_pct
fg1,h_01,102.7412,200.0,51.37
fg1,h_02,105.4897,200.0,52.74
fg1,h_03,96.4023,200.0,48.2
fg1,h_04,97.1324,200.0,48.57
fg1,h_05,77.1186,200.0,38.56
fg1,h_06,49.7181,200.0,24.86
fg1,h_07,46.5326,200.0,23.27
fg1,h_08,81.642,200.0,40.82
fg1,h_09,106.5451,200.0,53.27
fg1,h_10,139.893,200.0,69.95
fg1,h_11,151.6994,200.0,75.85
fg1,h_12,159.5268,200.0,79.76
fg1,h_13,160.6779,200.0,80.34
fg1,h_14,149.0115,200.0,74.51
fg1,h_15,135.1517,200.0,67.58
fg1,h_16,151.2741,200.0,75.64
fg1,h_17,117.8794,200.0,58.94
fg1,h_18,129.6854,200.0,64.84
fg1,h_19,138.2763,200.0,69.14
fg1,h_20,121.5676,200.0,60.78
fg1,h_21,121.4857,200.0,60.74
fg1,h_22,123.0865,200.0,61.54
fg1,h_23,124.9431,200.0,62.47
fg1,h_24,129.3057,200.0,64.65
fg2,h_01,133.5642,670.0,19.93
fg2,h_02,139.4647,670.0,20.82
fg2,h_03,112.2228,670.0,16.75
fg2,h_04,115.5704,670.0,17.25
fg2,h_05,52.1944,670.0,7.79
fg2,h_06,52.7726,670.0,7.88
fg2,h_07,39.455,670.0,5.89
fg2,h_08,142.0204,670.0,21.2
fg2,h_09,259.4303,670.0,38.72
fg2,h_10,358.9919,670.0,53.58
fg2,h_11,389.9752,670.0,58.21
fg2,h_12,411.7572,670.0,61.46
fg2,h_13,414.1891,670.0,61.82
fg2,h_14,375.9999,670.0,56.12
fg2,h_15,335.7891,670.0,50.12
fg2,h_16,253.9332,670.0,37.9
fg2,h_17,158.307,670.0,23.63
fg2,h_18,207.1121,670.0,30.91
fg2,h_19,197.8535,670.0,29.53
fg2,h_20,148.3081,670.0,22.14
fg2,h_21,142.9701,670.0,21.34
fg2,h_22,147.7276,670.0,22.05
fg2,h_23,157.4654,670.0,23.5
fg2,h_24,168.0863,670.0,25.09
